j,t,w,x
1,1.55325796267522986418497454065235832955898094112460494595285109880615239491812959205899022096914129371297452018091584178109887698457737208191893842336169165393222525743585362410270964889078287928624548812454881410804170558665618165691145348895740886683261453030212131395596686283926105069103366877872657676044953688520602510178802060685722339768732422660552155876999763311960186715443795878406069093857969103274471071192929800163542575200171927902443129578804432284449580947699896532348826336300287002739273544340334958173582866868732381427091261569933947710311512987013265086314759358189938616835972642967595355891086640034560448795512647082061363360883456629170145132029409068991363808652568549813772409321978376118559093392281537844879165653062398937195169930394591328965947158611613125911574892429826206851961058016949433438899021966345840992245235132474136610407181830858529132674218741982193952980422288172593445315231563732261587611723939731366719257464163731700415987559902736101841256146460891687468e-3,3.98409624808330280773294173733681122524034829357586061474258167846001921645066664707683084614308676049232532810794084547518463268968871118305547710991740224259778016547336988535692702038484046684586970895129378292505131467077748770377926733665592889723502091924002373561818478538398610476869032253423324892861526037402255949274401674796413469308455648759379540785511915474032467386316690427673900999672378943197878249033481890436943561455150194997888190152307038246000073732368237656283274912124513126032266895790509202861911948987779161449228929648293393675738153816864084031806928325702656084572729401014734260670831970553330642209121087453802412405189805503904831687121724585168548296465279258595649430253210890861617512113908630275914818687714837997427516366320697571196949638373363159667201879527537297901959256708902850529790747840262357424158520817778492035779256387423924432279886018679280972594830806553940447356983136440228480028203699574197304347312513259301236114223727917137705114224954442550112e-3,1.00267151055635437154431674328430452066519217430584714078385421261824194713157559434122279226643442073683682909408959978119183495044629441254902429690995693863375940246006655115449735961423458438272718696309772657556522959430691497252737854099722920246478255174112549320997714860956191264018917009934711657450711782722307698605951268337380974777672185459281420308797351825834830786930388243916537252109170651948080951429700625935455934870053803358239619341761384238673438891723920836047688188639723476318547312715232496219362528054157805595791432915374281915699768363830502573212511982362121351935691898588604945029451396172396606305424092733532353444953942441359354761909890241758509120976046061329328459784389262143245651770067725451739176209721427867699496231892799770334077654415432500355625428512989133290824885208057242900405590162412617796441040499514965189463651538643563853270683730497661694745800754980857124121474266324351430599740377438302642641573570828143020022094960684266439522093092354482315
2,8.16593836012639501498370919716859902984107264514431824140999492442785231760447814896201416982264315971118719931395334399200109322511259262371613235228934920126737935087215650446770456031294214436685017272871848480618508915641640033501069013891299590408849759913310825474154665579866884330427973946056651838355432193390880004498069261305088959502294367050281789053146542325267656503843630049948838822842025687796985774499694628837816411121160151385742289088830812642555432839692191530484126045994423595642720091592112291261318627537459477323125231561492810406410622648086165164201109864936452986447887845312101244828289390480504704512772221170815839950924919007970958187345380135127181371973858082746031605444040982470565495081136303647425845665417296962208128874525725095713196494499291700647037445842240714321191262309004763944668674331544833264816695007114209672579355565748277964601710665570908410316292451920208925312183212172584603933358302420050719176991781476756798027754450554119040357681682010479513e-3,9.23323415554547957115106595602363454810326698409070168564918275729279976065398682704025951483770897781904791602308179996863306395915455893489871705296974832021816045564376091127796873128863857062851824513991864507714163133998604669560177895780256201346570988574555784382798525335217283967898633793243225505591400277132384530226259879664900943500958964184387937577726525156221132190794450103242229995178696337158124378950989363646477101794709628756757721301043901361849968964455292509572501510416608837785858706218767409506381928908196868668249698291554118881122972734876257123433939779437637122418199498851983400709865597320032678698867684410992889625154175746550646423884029108185409769922581982356941774919282975992050420615714511206889950576402447436048776937347544876101112756297400729191720363218314826590366750607240179934610482748528969487009548270045643271523633845286084399692201337192323795649756722047959458655045845069940526129419886623531511500363349555835338004438721327025766204027871511392581e-3,1.01079442764145355772970001275556870202618715879234131576639120249205998286822950211448827676372750977463573547717156610907292581935030324005307523940790909297193888737755108463288195123192412800040299757551221379065733363933607461940087343823491989616338040910534906237165167116900893148981553621686668631421796591523400719568100996295671202956786040236854228244505106607137971640600531577160025870773505243929264703250748753633828918605720694939689561410750989767121302936072969448936680399234150602593828517278435663495697712613117910954307402471872878720339288944714201586458781546703174592275705037732265012538503627980092965713654838888272733089697628353058012079496671649328352371691152888436668286562219001648088268375547524253551158703480315376825267929234042980387412374047158305922976423825071471530002437774278740960906770316060141869054718118077705677439902817013173536297829712170018219499709712343703986327226746420569507303220074694520302941843524426344324895066775994600998927906682708785056
3,1.99890675158462438915644872091011685348203912980383002571691637875300211464657853864052781480999881088041366127280783975563213124919621011583174266732817401431006793540062711922503700085963867938589793681739828658358636090573151537518600910525902468755343040975565084216004459356729910575093549739619779188155797290778173239674451794783740217464636540709343331660517712278664056031540625095105670355778897668575555538388923895628977184554060613173929700238975922830354758420926961531123898627408052815407919716700889637473132979619548880553866409302793322852556812667131883949072190501719527468074403614193633960596476679178922382721560110442030158942111550185216488547597698056770438640469371086586639043638376252432508544930675488107289668696757853978411715125532046904808199102418815672776067092912637576597907557217395196689964102448576068109744733224411789739293323442671063551226705024447357206063104277443903172414163364862461158012315954846355206765946695487470128308340700855966534974506135760799138e-2,1.43923539416616846748595898056460218197944472731437482370900613040729944700069665508651033557420857774701961311256412753321186033902552063165131313894166134500763829640207566976364960622525138373176993762445852344350119995472658558823009293768810247856134236151966960875069318385620145356962664008383900833591038100844603575189342734816327229846913050784221063634374236666195612486847423389027031356588475609919143927604829279475684298771461899071840112854421208863062270386105215269968638796747783131019915765047820980829126501708751105350582224814077102230457224205962192727237867798481426549139781192162588881406529577148827563766963568843798074539792775628913172807693464450132289215797498713200459972245692448271204986115243785095818068164199813114917838871284598525241821657983865443268394727046879347291343537852238284242840036034643933867473682346130043330531725124337880607756651146235830986769650351042032088146501947441349793232599867453235716258871036747640264343640245440934477697414837328799422e-2,1.02207282304210566263204529528068590222465840539613403700340802976775784123474190481473580588232675776978418289365623952967330740023659728033631901025959891323500808216426184712786402789296281978979043606088687036388282330869824227611005130550644598268906793477372997039013238287270738048895575480352170377744163931080662696921704369077895369319629726257055503416846770676698304325058936537641068264467154864659953057555267877299044980816861288011191449916225782972678899368080560460491101256373211012322524179722217105778430080245655660405354023538655432394291583474416335972780234407515197429200217742089086737510391287842858994465876683410573232399951667269701399269452019903393267019205923495476363633854782548194026441470796491795741707007304820938156711550758315625466150098547183120107510441857325011890714095427659567735509344381848924083098552061431659004161041614723532984695155075169421026174366840723199729667035644948602772833189353759749030421156521298837880450113922013994498441392509507147387
4,3.68999762853628370603378614597629979567627315873354695444814331602885021744488365916135599247205687775694685083996607375539378906205551369252135581162943661541175753657721242189937400912609462161163828712760849289653433582299181405957523496522797231001751465663029026059769369865658449175251016388976938945820702827104909208569291765270178510712703376842159097248037855823667963414505357787591153192467856360906317211086937489683166886316211974771912621109823783328410491921207839984179779730315390812784105193551826541916358638091649193541148671826440283663791184813854120478778716261627467822172686716651788147833029761997529791190355548320861742177942428403511457427076209459408086561203608678883301095538026920293262789742881253822140496042627934463183924447921322135299161181445874262456221240350947379869077493737588909369602721631782057284414711784795325968825464639021067023181680102788279468601989208487689634930606405401335445892565792022635275420625401975796527303733756527719802102770904874085205e-2,1.93995962848135247984009682231738460166004883831976760538663948529734854763848969595275131395175528281701142791911372094103462570930897130291969938579927517739666671678946272058163469608911954310860420626406570321265962917224715583144800729487585538894727036377232180870570429376945464585967940024431830771284229567233810078462239314181335193454377291499820584783689823899228221865024269001833922849057364924579000860339431336270372827407068547337143880371448623377934929206950650748551406546960219192033654904976750796803343867142774577313912720873470678224053865294054467827017078438059827601605056641836405430371368364516100710645208550200269782986675527889791972046609219460737582665159314642428749900828709444567882980929072762645601325027049306397938745098354735469552983775735851023447038560396227447878086307035308360569337835249389625031190979995464117194308630880234653993003796015377524955680047594956559250725223247973404762516421953636136181336217368894665792241286003946956020093895340478487273e-2,1.03532443382852667500726474050606383570837164723203317417236791915818912230955184517923746013649000713613139394111345368241072852449640439287078337905704775042136382517763906346243981323351693119570689307663777822411069597585713456862198851906949226559092768056418703251184059375256169255107490647571533867452022036948742167187821725715807704272626575580900432330230201525431255370456798664958078428828469845160706396086127643472838648043138300760140599404827815249711170994911320865834154938959862263296774008766632612079328039103441101072854213738449638499401876110360300868620736511608286653391517352850188011449327830431572665906319928742941856228097923453584621542476106402501219208472196404097553913141186672822207359825674515727968095658044131755220500417921607134778002270508006962392024535219097000295987153699809964844814389811840863127210889521424259846741260105024486091472681736958889769103070843647930056574901434192218724737018385258752692338596313729220889003942591559033788889681883506796609
5,5.87197321039736592284417687348872049716554264267578839658369734391918686524041721353920808571339475732547094657522588086315338100141241332113402913441495055221141819811434417532815631030488179585411754872759587898439271993826821611875849056475311955935203232657791496546056824025288220981440839797325149588502121053209166261465456721989399636599962384628645552532421424211404578788405720394725379799773923600671788287737305857449920818547837486207184855537087837159875444064010397747166475929643044527179505069989199130815267890236326878241104037949908852208609816392982616121457600720892390446960588891738766470918451787564721087126588637775154622143425907858451732066471280904309850638420157207846780612317918220375349163225098671978163693761998981851189306077078657916045004211839046268997370042292876872511437353343325156432727632509967347981001023549552003156150671115374054138115963737479824090756762453608905165131710745614119361031493312512778639743006413422900431739150906320166784402285375122729416e-2,2.42013364152970264514690702114037589076359045986863681725959683959027128385510763988837197817811317271873229775360036909432213043798481054426673875524768420613127556947884325062465704154132836770719356575391997508428389049964265717526259245410936640183035412421174383435622344828469568500108794969075746462001123609175957306938662352492681968931702906856641313162434681240764220280397407123898895491381164496118847697021191634102741709943209029001564685957622098771309034918474747480959301607173543405534959460938919931125526526568983790889060289751192213551299867931759559812528899243125944861869806743559783017197185569959663951690382809927492497474699898529550049352224797322762976127400370911030642821651660146004598573570737160917948412815183681471627392825028976092895399520898243670488929436924307011170139326074372049839321514160593517084105342552006375529346955518879758151829194711703156770653533517374319214488367879268767158009455215852681300187351669718936021067301705915865519014008577635761958e-2,1.04976303839536584106636669089903808470127638081800080237657284182213792071443652479838968238847609202453200831714472917496979640781527285167880576241587720424610971131706485207538206706123250300324100286994856685454414328558919413031826088968221778594593116589631932565914967320697091385676353828235038738443982913006435937927607048997330183160104958665753983269200028823278665135642854591687040649866883956625674249487196794341563466919079909554813676715435074648930587575941310302244359044617067716597797396325607585228896246484955096818676153087811309639186508978431365296426610381668651522276327464139019798271154931345940214796607308125825063341291840479833915181221370038164779464635356292131080579669174001030945239343933331076530288141312488131158372034507589689681196360004061805579536276471867485461664989518793733304238729635697659153365136953827494153932353689539877172800504977126115720747152769633435298437188880132486202782736522131210780773217561765139740861073142265569896206364768382633865
6,8.5217118808615801278550940133749041780465651914829160596523508273171746705209182458523778245929919978142272721111341688598546644117231194562115353067103301356220570578462348212456087440189436447510744749251938260483774869236424008387726801159053526292577224712782305540734985803872609783648670038741134845017943814754335891870507674126684909079712776697614398488166758489918409354319854387078207831813958999713194063891109203994935214740628823320684724837650843529783849263535579691528558640442526989657762227613486905180139053754299047060966469789282377284890196186999503588367676453550040470172360095363746307083007704041217635591562233870852261168211878668606182503229998399428997554293413363869220705320909375453208287447990273278341915574500750556133655094482616663119267515959190559985612724045716239757577359145091174499878908193832476593598761435210126749009626776045950756329496843551834140416219416180203682354547079981709319004239110893426349493635779754192179649607681338061670326903042419768432e-2,2.87465781088095332408608447010280643985603353608815672743578995016160737049771884626059998254750626777799871741399227814694395473738200840588194472798590207038074325074457358235901272002591746503442924548784890259385560010488802300185380234379385621797672591665190234153570535733884378295610734867092568216325708697718349598712569646905499900239135060321124327779382384783889704422907427363975345877423969716258447631779688692633333791190872819911878874406345546617224381831585537827143833738434212801808141724725276614375351547390960195569110207163228584719608401624671719559284452507222700941406845650572185314637106170829924950091320226504948947780005408694176232323718900814694726505008199968505799428279149320670617546885695622993895980965307499102708767878665514161036543870399878296240596213010950080024119741307972276582632876392349562678769021940399716059616436350553958478916499380147530199627068298482126236466594911594026391001588555525182088889238784763276512882589213925968105992908537130315234e-2,1.06481671055250785822464476695421749870748704960288354988241571054366776434093577596386262653129152158350630425969324436968955212419969483177490725786952444324890505955892536953846970223930752064627287369163955684519562192739577380391116360909751585108174199625812286274357858227038808753473650457617541032229692552737710165743106350043270439974984330074869275447558775051812582507031852466626754703973739845083164398791381774689750471127725229296203264382389863606224123280630028259134624305376083928540580085510901622068009891262510614681527619151444819102123314567487586987584168175163443090442673731209514931328729116813338174427135617626026504328014765296546017243788020861238217221470616570467298535244345430184346160917704015395311406836001703536247827250283022376817514701445525602161334070981834081656904067613569507157719553266934907465987077892969910096250409774012743507497810180303930604626644221656543064279238478884619172467268260174126051203960186032176219091909015630834792218472018844300602
7,1.16111283947586902541011329512748434152558191383545773396752806317420714913502477473695198706880157898876512017491403559156202588658187803014839186367265234002821726267431949959555464317356430138013704095042429875529654658692820045192621407404795169648206180528231749878813916530095921648230264146416361452403308750528153664315645742484904706005310461352256369922126291447551752044292865564099311312205100865017742194687316385840392672273767333179453633249802515234160694077597899727373762194324521765230691182366357085512207977974981100036564843599627191769984236279054704149259603033860730375736921268393151917017716234283450114356509632596867288328651269785373988544614155419295766504208847448475120555953065773614145602329557218712533229959278134796824022471703624938396684152802043636893112160726880883836593442217969505493943208313318790004286788153819846738665004225807688430087451625407549092870790449257829550459143221255613020506232239275115260882998882484747351566279829656385810920370965061079602e-1,3.29871149410902475640642575579811806187214768283301894835157580210718362330470896829099569557993687197391029041356186994225481079902381213238816600028862340517011638391549431998815254920094342503251053708075281240672751282036418328684234255840071753220179104777672226862363005681905841939013310479278427127556165198571798775140555237676807109293725254916890986023306939804637115150276474041916962390262824341693324401976674951889586101454555679531422220356725995380927762685547489007087236499572702762191360509684075686810526716750791151906179590454232298906302547347367446566487805778350698586501517900263011373611010825594881521536823069864230533769206735664235036820803248785700776589155631651836561071657296135755032140158379074927624684643007186354789579189197483775745525072360822833807004989481877237730091509558148282462420158898731634418376682611357117359600383864600828947294479748457692326939247522860239051235673266098230522310336416054819019988083534147295228781833852887795050351460165822657962e-2,1.08005364443470314779680494307433984802813819936039064145262538475307817669939013813861166674807496579428316902752753769226377388272585419212555451700147304577298760925481977496976810972422265008962240907943962340932151771296306242976978608158356013226674979264570900557513831013036785257585849123553859224753307763162721322326172099225724259613103211867306321821283386890578318078772839584865973914032850070904538729266948126735723209657609153481215476708772947402903474972365728759691113968692500630306841019596955546604950363706624982850565044671033740852147707661316381936061534579942447902219118620441887854899409074041626264829972241224100706692984450597377740830973148770370657895351333123545566020962737110448842392985572611295861916612272489659440246118910743053647527024431568642870635585698931096861396588045255900060633623537788925119133818058016097457629387923059552442026585485242344060993515714054375306215067998225498533521924601110438129358641989046554735319234649428691162115703773321619571
8,1.51074752603342101533853805986679965808823099673022671810138576630011639378420019652309181779955476547274652800293295350280368673316371221836365746126267308772247298594925933557907011024361974345821470988483219549511040691953147998518804885281891306922977862421212789587690591642443253168998685300810453294477262172267894746627706900242997886318497446244924898571098255636965285097259581134858900042877302186679924887757526887270274617854287728300378964065054177261654758607571793008952479251313598574616449908482718797341306644085153644070094381737315824195218556289112958140593796654909120647663577725430697270099877389181473688412202540350170272403877811590159339258596644347244906212193122614003072674955210519888527588052381541956440880253890530596158260271772712603745209044767351703224971077253153190604374610832584889719213390113065072413476330021955076526487980626710935540742404367693206726177095801998984256965480174604244603061167663010256296114569119842171148387763586264880465473724696054401363e-1,3.68779873688526031341219250110953670768852630185247194706345911872996996573176058552006763583190916350961271184413150551527058170295245047737750302041544282870927279783528485512151846282508913879694414819957981711610288209440936468085626374129183482555473528398211677237200455864051427572858649356407598066665758188200030478059194998759631517292007154398612370249393330522332878645202494847729254903836261523879091890345993410576475447238119512519034914465044431824026759798687731814056674863167376950734914132422956268184967335547558789272048383374481627364518459254597292916042852120143453017926813494723592065085471896566646595800374717810417106760521578860572568315893650474893244394902269742987307627974732204539398431695713209531926583973754220272281025510229172336778325431625360317395288424857211477544680618744370381883060760411388203291994580397363363002224374808658145684735846075623151979601056753306486838833677734771757641345381397549447078188524105710933785013773907205602622768563065557880648e-2,1.09514569598471542649897791895562339105632613243276936184649296211762981146615110258057588833430987368776730458025997200725339183404749708059556640966278581142685878702653265311802876500030471853825106356621810748894945004516867001244356830002312707676726103983446773933868703383155768497828874025715021026407252729208411374424506340948228301884014516686803303098667109867880810720274805973193331598180812077333969829130645448364107386679423866715084562728551438819651856083146972006667854737441007855807785741218959911242779693015732919299425477724021310372600700280744753331703981830213357470472640323526759676600881214746167341040566107965212361548046987360093907855677835050545689523352363958780987746665945062882551790206429514757699378065787966247320493523278387279421869467011637958681637871106047245175555822910040733968692118367977749081280788939692236253183634640805582748504334263605016329140994921882979380570731285984600982875659171262652500277074805930112725977049275016215701983818355029278476
9,1.89736908505378569429761221784405350396317653585235933702474414937832342512555441129423707772336089467606050019312596652488721686128893530699262124236562584939020518928728596297725042270176834921949402152720898855582207338156660481374185691081273669591058672145308303198746098228755817686853743540293206780092093520769329038353331961330219358168017881498275804198245017778093279140746754503373987639841059846286645435081561959452714576537780873086307827442044581986219271409414706748878870218024578571916347508122543419354008556268043693889110197832305360550718112321240376383083621356762700037451789439850263603433499964316659391447962831396567844225023230582982839279007082748824854670898096505322831129041547454586303560202306016871733183541544228054063583464963741940699304336748379352813960843754176846101946183974752910353479802983364575208847898796258268958209656673939153639081184367500991026891674019111681811129053809701192120009158511270405203480031970215686015120217491222836047640248918519240187e-1,4.03779476147101076773474692302648654379464018542196499451292968530255902835131728021062013846089040403747080737004809279231163989814643768177631789541803743023036543629002516163883799573227183978671191714557165898343486745902907233483794761315295097249251832793428408249255944545981630181176919485097168636340605605821016487463878853398033086809966337658326488782617613544075538966221306735769691787991030179112110906209772622556739232308166917883150629100580020154977622105097987065325985391899379143784559669496157139490842021730016359563157314745461909052263983556723504331711310600335304329822493447545430834656052829459684610262581970977630233970894671797867185379187992194790641661212740702279365838639228154709459223219440728105801611658011841696348112843772188366331389214121995879966826477941159492346011178588317731443161166101251643042793098102116399380532072798596476894242597207778125743704365136348079047432792259922056972660795387421585532423358605600520790929747824706408191722739000062478186e-2,1.10984652274760758475080140531215848620293768538400941234326586693605052883176460371171800203062333536117306989834818560630022651062789787909779490805884789767598781678381972010240285245515552565292598942441074232947021271417561194408491899413235755898226592390857188878944730799200049945104616397327132750182782618892311306944587339484916773797154097302015562636749149849920068531602518732103577483309028447607923893084908632300934424544471343636842478630911248017953060268476011142303872607916000181345964271976004443889250468911641733858312521325514124097818639299208928402461235616788958635808168634883957733653031244155828284324601737116653296655346744662593143074566270339716764858802269610779962805294923822449993999695202553160338858424948466145577698783478429032940429879363099377299743872313150641620045510389993699092104874589871603787337220083510880370865412646479826956993175048606059799981411574912846413439730779907864094049714392177339497629337226249873865116163333579933292663984373126097766
10,2.31687925928990050367915103344463602917910996534851447273628258543992545690510810684429419951405048709542070846482213007061907709391382822456347984230796457088957240801872984894865704394181810159945903161300373632563341252573207204001447606172864509516388974659171969232613790315974712900756619114789631138147478480506681727503213042665239403964252095236589664043440209526496804644125902768794152521879200174795836871892194281271744338360958064505157647354077620922404051389308632981045496008673121029232359102691123619246248956788039294702856436672406607727408726714078911451493586673389081405060438749534846128726055391753493011069435051683718613183952694312925167945875819635483629877337767303811554858818545687479020801712685130579187278134721515969483293990359183068080353902898629767202481402901654068755088894938136189067923521751578239953955124763680450812110247138487275433326707885805046275442790279794277996946419948925612644361020337540183650506285475340927918807916305283405711997320700439434846e-1,4.34498936005414899011937653575628512883766643717726720061110649410767911271307471239775167548195526651077388009769604703309741815412979362130644353884910146178377014772386112365642410546362239073054334073028979438538212977653601849492022714679892365437775630977444806105566264596633014885869563065431717852830262642708178068232713553785142831906794485374747088204628474362827494846622053332784442655023285040567772496530398524595840238947348835011086779146733539192606992068663074476054227028042610507934393020321925777717627438676983672065641243420764365755925596330367988601026267706124911787764350137443600536463117177901338640177455625629695876152437328726895105876830998650426017156402575335706892686177756586545698469478289469568334357241016496831613008410219493309658330452031427850543910140449745382914775348806904041165501310036217916316250621744030956795856239775215052875456517286353863013532921292121293198367252381536992484469045802291055052088798079566802277706922280269213859535957348934243334e-2,1.12397610264776981636016325033897079488249131938306237750326077612747888485395324116805990615481786355679200377327762071883830977395289117835103420527089931008694314160568765149069055944177690249888801661101797718293563246784721952755039860229483242675697681189167837378194793849374636009418151422703813661536530853212148617718308786639018096578931717589574138487001569069573663520500683335908117481858145524295610347429303883593656413336450650973030691060165476554340347795571212630481615127779175318915566687924553038499524676065282794731976723945690919458381341565739167973851479977059939007002629133849914248616897838539047456039771190379249562247135883708523699197100791854968830999143684034176609497807357680451679760450618892535465962404291408782361688894310062892580338923317404676803016794205688492580614576520953845233447287843048943620662350833823718382981300910692178738791571850099741755407592061076446802982691337357677290008224794054022607970289333631745942163461700828009335832981018441395241
