problem,N,dps,n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
chandrasekhar,30,1000,0,1.732117178187168215426142e-1,,,fewer_than_three_increments,False
chandrasekhar,30,1000,1,1.583096766995454036686618e-6,2.511169956485397808969236e-1,,fewer_than_three_increments,False
chandrasekhar,30,1000,2,7.980421119388045784828025e-27,2.358967683991823675822473e-6,,fewer_than_three_increments,False
chandrasekhar,30,1000,3,1.832860566314034775888328e-111,9.793127237972681239437325e-27,4.054341706333612,usable,False
chandrasekhar,30,1000,4,1.486175906288510318201819e-450,1.991172051297106067195923e-111,4.155266470085303,usable,False
chandrasekhar,30,1000,5,1.189226059319981807320657e-1001,1.808240028216984413100403e-450,4.003242370931855,usable,True
polynomial,30,1000,0,3.267053989957461547648175e-1,,,fewer_than_three_increments,False
polynomial,30,1000,1,8.260690194200283696495946e-6,3.400329076740964454187484e-1,,fewer_than_three_increments,False
polynomial,30,1000,2,3.491166592478702846631569e-28,9.104126145583815077251946e-6,,fewer_than_three_increments,False
polynomial,30,1000,3,4.706249434790286095515133e-140,3.84761521811693241106085e-28,4.893408432101336,usable,False
polynomial,30,1000,4,2.095061532551995666841538e-699,5.186758198409799803324085e-140,5.000002791965296,usable,False
polynomial,30,1000,5,2.973065148299954518301641e-1002,2.308967625006745059234584e-699,5.0,usable,True
bratu,30,1000,0,2.497787516569389078465319e-1,,,fewer_than_three_increments,False
bratu,30,1000,1,2.523014017330796021219137e-6,3.288667493113047022646828e-1,,fewer_than_three_increments,False
bratu,30,1000,2,2.896231273217757692025573e-26,3.553876024090511403815925e-6,,fewer_than_three_increments,False
bratu,30,1000,3,1.16563050657037300521705e-105,3.383389646626889399283079e-26,4.031427608741089,usable,False
bratu,30,1000,4,1.329004013394272887918371e-423,1.620030690341993123365565e-105,3.961762206537494,usable,False
bratu,30,1000,5,5.946130296599909036603283e-1002,1.54967367640932430266792e-423,4.009328914365903,usable,True
nonseparable,30,1000,0,3.267053989957461547648175e-1,,,fewer_than_three_increments,False
nonseparable,30,1000,1,4.771052642728192902263283e-10,3.271316137204128631744158e-1,,fewer_than_three_increments,False
nonseparable,30,1000,2,1.276931827200904855556849e-45,4.787416477062320869965257e-10,,fewer_than_three_increments,False
nonseparable,30,1000,3,1.467877369216826650402543e-187,1.279543033706743495208355e-45,4.026550214448629,usable,False
nonseparable,30,1000,4,1.155496033988893017238417e-755,1.472923480033780414859699e-187,3.990068026800222,usable,False
nonseparable,30,1000,5,3.240176470217528557055304e-1002,1.157858108736161086098974e-755,4.002458988062704,usable,True
reciprocal,30,1000,0,6.928468712748672861704569e-2,,,fewer_than_three_increments,False
reciprocal,30,1000,1,4.112000642486402572473225e-10,7.287907741612510552822192e-2,,fewer_than_three_increments,False
reciprocal,30,1000,2,2.875395195885733830553544e-44,4.298188705888393052017725e-10,,fewer_than_three_increments,False
reciprocal,30,1000,3,9.334015549610730840600853e-179,2.963561693054029648781216e-44,4.151191392596676,usable,False
reciprocal,30,1000,4,7.602064936733536462806248e-719,9.756259707104485989376585e-179,3.93667265169083,usable,False
reciprocal,30,1000,5,5.946130296599909036603283e-1002,7.835001626294542638217017e-719,4.016099650800581,usable,True
