j,t,w,x
1,1.55325796267522986418497454065235832955898094112460494595285109880615239491812959205899022096914129371297452018091584178109887698457737208191893842336169165393222525743585362410270964889078287928624548812454881410804170558665618165691145348895740886683261453030212131395596686283926105069103366877872657676044953688520602510178802060685722339768732422660552155876999763311960186715443795878406069093857969103274471071192929800163542575200171927902443129578804432284449580947699896532348826336300287002739273544340334958173582866868732381427091261569933947710311512987013265086314759358189938616835972642967595355891086640034560448795512647082061363360883456629170145132029409068991363808652568549813772409321978376118559093392281537844879165653062398937195169930394591328965947158611613125911574892429826206851961058016949433438899021966345840992245235132474136610407181830858529132674218741982193952980422288172593445315231563732261587611723939731366719257464163731700415987559902736101841256146460891687468e-3,3.98409624808330280773294173733681122524034829357586061474258167846001921645066664707683084614308676049232532810794084547518463268968871118305547710991740224259778016547336988535692702038484046684586970895129378292505131467077748770377926733665592889723502091924002373561818478538398610476869032253423324892861526037402255949274401674796413469308455648759379540785511915474032467386316690427673900999672378943197878249033481890436943561455150194997888190152307038246000073732368237656283274912124513126032266895790509202861911948987779161449228929648293393675738153816864084031806928325702656084572729401014734260670831970553330642209121087453802412405189805503904831687121724585168548296465279258595649430253210890861617512113908630275914818687714837997427516366320697571196949638373363159667201879527537297901959256708902850529790747840262357424158520817778492035779256387423924432279886018679280972594830806553940447356983136440228480028203699574197304347312513259301236114223727917137705114224954442550112e-3,7.15621913284350046227361439284168217809587589282651528723447169638181776443552929401048514940309441225411519523052581035402538281604837164063369414897547662705303467036331313884664041347538929765615120199752549043645218450914150969507323945748673336879101329365127733984023313539271193168137152500120843193198208469550352498523108216342642473251251016416390179653865340559144781303469490298763651931594512056482153023262183372792991499224931190248441555616239812852714943748762730702807240654222050756491830272754661283453662067965211015766665343365662873726395335659338083977013579850836109740385473906420305621670440617519275108763298198038527562318560778126477722362313567252597849585866766877769883461434909588128150462293961317543952625889816966890456131196744430842229058976506919197636839900697437184887578664560431424511689260201473788428163654447200789365834918124939370072361462770257352760106678719619204085739185250054148926733690743555878435453451403099684309452485997440381700969567186690284928e-4
2,8.16593836012639501498370919716859902984107264514431824140999492442785231760447814896201416982264315971118719931395334399200109322511259262371613235228934920126737935087215650446770456031294214436685017272871848480618508915641640033501069013891299590408849759913310825474154665579866884330427973946056651838355432193390880004498069261305088959502294367050281789053146542325267656503843630049948838822842025687796985774499694628837816411121160151385742289088830812642555432839692191530484126045994423595642720091592112291261318627537459477323125231561492810406410622648086165164201109864936452986447887845312101244828289390480504704512772221170815839950924919007970958187345380135127181371973858082746031605444040982470565495081136303647425845665417296962208128874525725095713196494499291700647037445842240714321191262309004763944668674331544833264816695007114209672579355565748277964601710665570908410316292451920208925312183212172584603933358302420050719176991781476756798027754450554119040357681682010479513e-3,9.23323415554547957115106595602363454810326698409070168564918275729279976065398682704025951483770897781904791602308179996863306395915455893489871705296974832021816045564376091127796873128863857062851824513991864507714163133998604669560177895780256201346570988574555784382798525335217283967898633793243225505591400277132384530226259879664900943500958964184387937577726525156221132190794450103242229995178696337158124378950989363646477101794709628756757721301043901361849968964455292509572501510416608837785858706218767409506381928908196868668249698291554118881122972734876257123433939779437637122418199498851983400709865597320032678698867684410992889625154175746550646423884029108185409769922581982356941774919282975992050420615714511206889950576402447436048776937347544876101112756297400729191720363218314826590366750607240179934610482748528969487009548270045643271523633845286084399692201337192323795649756722047959458655045845069940526129419886623531511500363349555835338004438721327025766204027871511392581e-3,2.92083229160050885699845107387406857710731281411981890420845763828209714146274463182303535118437528458455693947454631694718683543204385579529174814224141608073960741029666813861841280909888885332329191811128369272519602982899481291048428627269529106078318359934646470473711256155477034965960802062214211408747884265723251241037023695871065743966264463093312187143427879264125524811366297447325726183613452391223883811474146860742470824423965943302557271451136634996534293183342731072561448155734925973680113057606164332270961758164501686648810857802640187611930830462350432526427886943896957961167416953340436968557519857858987540291234561273850232067931339137222839687082485642371379772581857417506769268998570666118252339090530476711245010135198756332543822583532063059011946670229448035544453863640168096679904837639730096479688879852403723164771822035226190563596772369922093217438495632381500630714868351778075723988640350318442755906034090766398930024677592052437941728500524017226343467785399377898679e-3
3,1.99890675158462438915644872091011685348203912980383002571691637875300211464657853864052781480999881088041366127280783975563213124919621011583174266732817401431006793540062711922503700085963867938589793681739828658358636090573151537518600910525902468755343040975565084216004459356729910575093549739619779188155797290778173239674451794783740217464636540709343331660517712278664056031540625095105670355778897668575555538388923895628977184554060613173929700238975922830354758420926961531123898627408052815407919716700889637473132979619548880553866409302793322852556812667131883949072190501719527468074403614193633960596476679178922382721560110442030158942111550185216488547597698056770438640469371086586639043638376252432508544930675488107289668696757853978411715125532046904808199102418815672776067092912637576597907557217395196689964102448576068109744733224411789739293323442671063551226705024447357206063104277443903172414163364862461158012315954846355206765946695487470128308340700855966534974506135760799138e-2,1.43923539416616846748595898056460218197944472731437482370900613040729944700069665508651033557420857774701961311256412753321186033902552063165131313894166134500763829640207566976364960622525138373176993762445852344350119995472658558823009293768810247856134236151966960875069318385620145356962664008383900833591038100844603575189342734816327229846913050784221063634374236666195612486847423389027031356588475609919143927604829279475684298771461899071840112854421208863062270386105215269968638796747783131019915765047820980829126501708751105350582224814077102230457224205962192727237867798481426549139781192162588881406529577148827563766963568843798074539792775628913172807693464450132289215797498713200459972245692448271204986115243785095818068164199813114917838871284598525241821657983865443268394727046879347291343537852238284242840036034643933867473682346130043330531725124337880607756651146235830986769650351042032088146501947441349793232599867453235716258871036747640264343640245440934477697414837328799422e-2,6.86360705397884808608047022508341340416254798560562134784107883254910757515350427811391475587490488097633178331196597229981974671030152635936739448922537496589335650211121244193126535767109835611206711001396830876167560470135244851104876687106699468508827824614399997762528245206737838763005882153749596946327016177743644533010778517891741428757440730068776783498152591529207708329273001721189994929225061387654366377897857806062166687826595188343803869750267984828813888331301451381092102990160430053769331129613746645328298228214905757943091835351012193892894355297228024829203775832441887536276942303093006524843606327899290032397086812955212793667845675617053146053541550074048280211067195958115412442800868295174099396037748313035493240679712454295605055807064016535343130459986857590272656618908216797170478637925220663108547108618469402583791145580742198947983975743962152188160028126449585950223830272048401328604791721066875072185439318725351746770097325742510951440594146438977459606083103429887188e-3
4,3.68999762853628370603378614597629979567627315873354695444814331602885021744488365916135599247205687775694685083996607375539378906205551369252135581162943661541175753657721242189937400912609462161163828712760849289653433582299181405957523496522797231001751465663029026059769369865658449175251016388976938945820702827104909208569291765270178510712703376842159097248037855823667963414505357787591153192467856360906317211086937489683166886316211974771912621109823783328410491921207839984179779730315390812784105193551826541916358638091649193541148671826440283663791184813854120478778716261627467822172686716651788147833029761997529791190355548320861742177942428403511457427076209459408086561203608678883301095538026920293262789742881253822140496042627934463183924447921322135299161181445874262456221240350947379869077493737588909369602721631782057284414711784795325968825464639021067023181680102788279468601989208487689634930606405401335445892565792022635275420625401975796527303733756527719802102770904874085205e-2,1.93995962848135247984009682231738460166004883831976760538663948529734854763848969595275131395175528281701142791911372094103462570930897130291969938579927517739666671678946272058163469608911954310860420626406570321265962917224715583144800729487585538894727036377232180870570429376945464585967940024431830771284229567233810078462239314181335193454377291499820584783689823899228221865024269001833922849057364924579000860339431336270372827407068547337143880371448623377934929206950650748551406546960219192033654904976750796803343867142774577313912720873470678224053865294054467827017078438059827601605056641836405430371368364516100710645208550200269782986675527889791972046609219460737582665159314642428749900828709444567882980929072762645601325027049306397938745098354735469552983775735851023447038560396227447878086307035308360569337835249389625031190979995464117194308630880234653993003796015377524955680047594956559250725223247973404762516421953636136181336217368894665792241286003946956020093895340478487273e-2,1.25028879003203152571597542804926780320116116226517384568112599085083758302044496175131403669871739210977345411740667642273483634731517882329624436029518995607559996389721373331414629652647409404498548766894071087688952393488964086791895126920573383979463951250829810616629549328836235356078379562090741315098041584324525272679709628851885836451077035721253394366764779169316640241435977562682793721967640985023515868548562919025551864326398903467612188874848879125449460646626838165095940290353450231398802926952194620778025737874983617067378125296557714290237920939948738125751312861236117841103756468235205037305989059117428863986646605707643395549900145965029747886256794334134665277802784005146466337331095308604256520427929119860510845087084706139045457541135510709781117459164439239537114542524217947074193220007393415000586913836753934911125345401499769856742128979414986281926566262593257472956657182656887175618407804181343844345116025615991019479659557800451790258854784867450281970177731876941664e-2
5,5.87197321039736592284417687348872049716554264267578839658369734391918686524041721353920808571339475732547094657522588086315338100141241332113402913441495055221141819811434417532815631030488179585411754872759587898439271993826821611875849056475311955935203232657791496546056824025288220981440839797325149588502121053209166261465456721989399636599962384628645552532421424211404578788405720394725379799773923600671788287737305857449920818547837486207184855537087837159875444064010397747166475929643044527179505069989199130815267890236326878241104037949908852208609816392982616121457600720892390446960588891738766470918451787564721087126588637775154622143425907858451732066471280904309850638420157207846780612317918220375349163225098671978163693761998981851189306077078657916045004211839046268997370042292876872511437353343325156432727632509967347981001023549552003156150671115374054138115963737479824090756762453608905165131710745614119361031493312512778639743006413422900431739150906320166784402285375122729416e-2,2.42013364152970264514690702114037589076359045986863681725959683959027128385510763988837197817811317271873229775360036909432213043798481054426673875524768420613127556947884325062465704154132836770719356575391997508428389049964265717526259245410936640183035412421174383435622344828469568500108794969075746462001123609175957306938662352492681968931702906856641313162434681240764220280397407123898895491381164496118847697021191634102741709943209029001564685957622098771309034918474747480959301607173543405534959460938919931125526526568983790889060289751192213551299867931759559812528899243125944861869806743559783017197185569959663951690382809927492497474699898529550049352224797322762976127400370911030642821651660146004598573570737160917948412815183681471627392825028976092895399520898243670488929436924307011170139326074372049839321514160593517084105342552006375529346955518879758151829194711703156770653533517374319214488367879268767158009455215852681300187351669718936021067301705915865519014008577635761958e-2,1.97785709278654693629797246305970172835476032678313070161646358791299824487431027774434533776954344540066700794590198273147981575498604180324505850113854941126249238994868752158374718599243760434931589643814001322251448608756954883228671672342888223396605257427838845820811714721319122709493249577494200784293127585991660735190105900915357518782326231202630447369599074913486035745455703412846157581741302554544139835051107301954497578438387932764237137502386021952684818043813158627575321077152454224383780058004808739346252661748773562710859640463200096037186074607160005285788181672524132949690925304560336268505747321416950797384009705428228582404577035990383954928607198220370961857401031291853616492985135926034495477556817368453223588524275598867867298222586670054487539605246623591987559957185923920882765216970473137609258956705814837216064352245362125567322854311984605914534605003697424435256006930583149465221815373883126756133142801707328233416498782367612971218694635254212937059467559452371181e-2
6,8.5217118808615801278550940133749041780465651914829160596523508273171746705209182458523778245929919978142272721111341688598546644117231194562115353067103301356220570578462348212456087440189436447510744749251938260483774869236424008387726801159053526292577224712782305540734985803872609783648670038741134845017943814754335891870507674126684909079712776697614398488166758489918409354319854387078207831813958999713194063891109203994935214740628823320684724837650843529783849263535579691528558640442526989657762227613486905180139053754299047060966469789282377284890196186999503588367676453550040470172360095363746307083007704041217635591562233870852261168211878668606182503229998399428997554293413363869220705320909375453208287447990273278341915574500750556133655094482616663119267515959190559985612724045716239757577359145091174499878908193832476593598761435210126749009626776045950756329496843551834140416219416180203682354547079981709319004239110893426349493635779754192179649607681338061670326903042419768432e-2,2.87465781088095332408608447010280643985603353608815672743578995016160737049771884626059998254750626777799871741399227814694395473738200840588194472798590207038074325074457358235901272002591746503442924548784890259385560010488802300185380234379385621797672591665190234153570535733884378295610734867092568216325708697718349598712569646905499900239135060321124327779382384783889704422907427363975345877423969716258447631779688692633333791190872819911878874406345546617224381831585537827143833738434212801808141724725276614375351547390960195569110207163228584719608401624671719559284452507222700941406845650572185314637106170829924950091320226504948947780005408694176232323718900814694726505008199968505799428279149320670617546885695622993895980965307499102708767878665514161036543870399878296240596213010950080024119741307972276582632876392349562678769021940399716059616436350553958478916499380147530199627068298482126236466594911594026391001588555525182088889238784763276512882589213925968105992908537130315234e-2,2.86126365936849557574163771716725836229779443925232180150236430901660632338691823875366651413589495562382936556757913515714189937184876709033783755853312765357008213525582093711777444961489733646661512350063845082813767969431640811601241099672455977656151990357115770862047395344790699228635966856252352474940177446927233492381422125769569332889459628659645951072548618784605605264002077363613224516686656943258109223603253742963552805590267715489261553207472604048967066130738615825043530615878045554112189784024282719956510805826800787823421705250944427726023496121392791896477569185383146398427971381476591157675881345384294682696325795167261937979713106337370587477807815194870645550616635011975058030654134935402999288057915775889881742781795700372744192505681219355243643773261965387665679748184308778375354488502961899517442954023188225996025949316069497329764304295470943095949081051124309640435766913220288215900552229982327458700102779924899742578012011034953815264580980219572686347577303957716159e-2
7,1.16111283947586902541011329512748434152558191383545773396752806317420714913502477473695198706880157898876512017491403559156202588658187803014839186367265234002821726267431949959555464317356430138013704095042429875529654658692820045192621407404795169648206180528231749878813916530095921648230264146416361452403308750528153664315645742484904706005310461352256369922126291447551752044292865564099311312205100865017742194687316385840392672273767333179453633249802515234160694077597899727373762194324521765230691182366357085512207977974981100036564843599627191769984236279054704149259603033860730375736921268393151917017716234283450114356509632596867288328651269785373988544614155419295766504208847448475120555953065773614145602329557218712533229959278134796824022471703624938396684152802043636893112160726880883836593442217969505493943208313318790004286788153819846738665004225807688430087451625407549092870790449257829550459143221255613020506232239275115260882998882484747351566279829656385810920370965061079602e-1,3.29871149410902475640642575579811806187214768283301894835157580210718362330470896829099569557993687197391029041356186994225481079902381213238816600028862340517011638391549431998815254920094342503251053708075281240672751282036418328684234255840071753220179104777672226862363005681905841939013310479278427127556165198571798775140555237676807109293725254916890986023306939804637115150276474041916962390262824341693324401976674951889586101454555679531422220356725995380927762685547489007087236499572702762191360509684075686810526716750791151906179590454232298906302547347367446566487805778350698586501517900263011373611010825594881521536823069864230533769206735664235036820803248785700776589155631651836561071657296135755032140158379074927624684643007186354789579189197483775745525072360822833807004989481877237730091509558148282462420158898731634418376682611357117359600383864600828947294479748457692326939247522860239051235673266098230522310336416054819019988083534147295228781833852887795050351460165822657962e-2,3.89098289380940509737847776304062745572691244599057696125899304110115199316570425190210144945588930617686737562306886964413203842626425676139387391032502122234966175479766438888211449347952915104676113300139338188314206584999279153782673565351785561389147730807380930700843390041022509813330910181783450588329563778219677249285341090613092064272455944467092024584177831234027121648984667732733780464090206244362609832925772613998991393004734198645182825662745887856295553145929057820353714279960898761246480211398244025294605411435362437172941881732211531981110962501617939542498589882004175622032836187642313018088096201038105932789715154829460281679607087432127831423941410035789522109467103675108574360358550092870897937103468614023409313300954654000434497017828862365814885517034159074436192284617074140015236351286026428860874307165851308008486812053778766489574229664362110003026562857913246230718110526847209222309103660591037970496222075756156755072510844015165988090646614688149748191612834114783826e-2
8,1.51074752603342101533853805986679965808823099673022671810138576630011639378420019652309181779955476547274652800293295350280368673316371221836365746126267308772247298594925933557907011024361974345821470988483219549511040691953147998518804885281891306922977862421212789587690591642443253168998685300810453294477262172267894746627706900242997886318497446244924898571098255636965285097259581134858900042877302186679924887757526887270274617854287728300378964065054177261654758607571793008952479251313598574616449908482718797341306644085153644070094381737315824195218556289112958140593796654909120647663577725430697270099877389181473688412202540350170272403877811590159339258596644347244906212193122614003072674955210519888527588052381541956440880253890530596158260271772712603745209044767351703224971077253153190604374610832584889719213390113065072413476330021955076526487980626710935540742404367693206726177095801998984256965480174604244603061167663010256296114569119842171148387763586264880465473724696054401363e-1,3.68779873688526031341219250110953670768852630185247194706345911872996996573176058552006763583190916350961271184413150551527058170295245047737750302041544282870927279783528485512151846282508913879694414819957981711610288209440936468085626374129183482555473528398211677237200455864051427572858649356407598066665758188200030478059194998759631517292007154398612370249393330522332878645202494847729254903836261523879091890345993410576475447238119512519034914465044431824026759798687731814056674863167376950734914132422956268184967335547558789272048383374481627364518459254597292916042852120143453017926813494723592065085471896566646595800374717810417106760521578860572568315893650474893244394902269742987307627974732204539398431695713209531926583973754220272281025510229172336778325431625360317395288424857211477544680618744370381883060760411388203291994580397363363002224374808658145684735846075623151979601056753306486838833677734771757641345381397549447078188524105710933785013773907205602622768563065557880648e-2,5.05584858928899717523288727264631141939178963735396609752485914731595229902005378562213989667301077183005155579568775887871459487254360131010516216113208128163433273342879293425756952774136577365150415210897423449902400016234146453177900815305683333518251135895857185154135893252157884076819898780096037061503884886447013253653159825906042873344339993701308148429281341796742442266146611243833928669680082658167007085903712748560107154771068929260439674520599997476510731522424940012404073981217646777505981616818838672417713823989356726097639846726576291898192733311028254868171365517545861907260528453242577668297603601822224696785076186958858900334472159948635689293086258590587926651462268146756892401592382588015940020128949466077500554410760902701747871754154286725221566306105939327963551335110370143623609484603011820523391398258103897073979439671850323757274392700791435873609936990642083809415780213507567398403796610939660948800980561551255259571205348812032387418351337024783014993714171236620862e-2
9,1.89736908505378569429761221784405350396317653585235933702474414937832342512555441129423707772336089467606050019312596652488721686128893530699262124236562584939020518928728596297725042270176834921949402152720898855582207338156660481374185691081273669591058672145308303198746098228755817686853743540293206780092093520769329038353331961330219358168017881498275804198245017778093279140746754503373987639841059846286645435081561959452714576537780873086307827442044581986219271409414706748878870218024578571916347508122543419354008556268043693889110197832305360550718112321240376383083621356762700037451789439850263603433499964316659391447962831396567844225023230582982839279007082748824854670898096505322831129041547454586303560202306016871733183541544228054063583464963741940699304336748379352813960843754176846101946183974752910353479802983364575208847898796258268958209656673939153639081184367500991026891674019111681811129053809701192120009158511270405203480031970215686015120217491222836047640248918519240187e-1,4.03779476147101076773474692302648654379464018542196499451292968530255902835131728021062013846089040403747080737004809279231163989814643768177631789541803743023036543629002516163883799573227183978671191714557165898343486745902907233483794761315295097249251832793428408249255944545981630181176919485097168636340605605821016487463878853398033086809966337658326488782617613544075538966221306735769691787991030179112110906209772622556739232308166917883150629100580020154977622105097987065325985391899379143784559669496157139490842021730016359563157314745461909052263983556723504331711310600335304329822493447545430834656052829459684610262581970977630233970894671797867185379187992194790641661212740702279365838639228154709459223219440728105801611658011841696348112843772188366331389214121995879966826477941159492346011178588317731443161166101251643042793098102116399380532072798596476894242597207778125743704365136348079047432792259922056972660795387421585532423358605600520790929747824706408191722739000062478186e-2,6.34315891045057636278005841285927368855037787430938591026551571074403139517366639133727459912110646644353716506883252928916496525491549561240962648380262835611900796802410022888992536989927761772889277277408588065714877184926585572153792627594680569097850977535954596351290452908797562205002414195520641324446803660491097275790490875700731742826934618754720886979792782062541221528067479428165131454563615653595334114914416920520164942188154632454153974713287264525778379060375340927101673510053985885048817640161432461956541152019061380161125882306854859258538652660487947592003821839014461989498438546845104107702067096857955079937674244054611890812718393069491592101372624312601144630298124540960969476626868366663273218241226807260951474353079942791842206580115496224161387200311869475549941271417118648259616617068880319813747758559421398032138302748880054269803258183283325134806210889374867758834134456805357204903523357369814730093506931681840574631417141509200348950300451206787728337999383586704328e-2
10,2.31687925928990050367915103344463602917910996534851447273628258543992545690510810684429419951405048709542070846482213007061907709391382822456347984230796457088957240801872984894865704394181810159945903161300373632563341252573207204001447606172864509516388974659171969232613790315974712900756619114789631138147478480506681727503213042665239403964252095236589664043440209526496804644125902768794152521879200174795836871892194281271744338360958064505157647354077620922404051389308632981045496008673121029232359102691123619246248956788039294702856436672406607727408726714078911451493586673389081405060438749534846128726055391753493011069435051683718613183952694312925167945875819635483629877337767303811554858818545687479020801712685130579187278134721515969483293990359183068080353902898629767202481402901654068755088894938136189067923521751578239953955124763680450812110247138487275433326707885805046275442790279794277996946419948925612644361020337540183650506285475340927918807916305283405711997320700439434846e-1,4.34498936005414899011937653575628512883766643717726720061110649410767911271307471239775167548195526651077388009769604703309741815412979362130644353884910146178377014772386112365642410546362239073054334073028979438538212977653601849492022714679892365437775630977444806105566264596633014885869563065431717852830262642708178068232713553785142831906794485374747088204628474362827494846622053332784442655023285040567772496530398524595840238947348835011086779146733539192606992068663074476054227028042610507934393020321925777717627438676983672065641243420764365755925596330367988601026267706124911787764350137443600536463117177901338640177455625629695876152437328726895105876830998650426017156402575335706892686177756586545698469478289469568334357241016496831613008410219493309658330452031427850543910140449745382914775348806904041165501310036217916316250621744030956795856239775215052875456517286353863013532921292121293198367252381536992484469045802291055052088798079566802277706922280269213859535957348934243334e-2,7.73880580418723199791353556415762588900983226640840326767357672195166394834603859983903278700711358232988129953735302414467060622543006026955443681308680304404209939594717022826168960833245157645154726251169270694083416677534653035637721954915524979866906759817794249907352632183010059643386046020095952502532476992306889314685300942956992287653348484265118003353280322559469513142211574254087414681684945683222142237463160348717317780721241051221255731932411085667060411305467258989868890146998770158195801541823932881523064187159263382463574372963228174579737918315238295883902140019390142894347081030509318538811268133962860748830379212166912720045158762929440863523115571148882388690963130601761472816309226230521730033035311715272702952043127172702171053380574097544548140008751818412296965006161197496437590874579066723676468214589497360273130964329581434285870485786697655331186032759510606166508686437009033566966161039317914126695929082685115560373792481720409473604864378010254472168543458419350713e-2
