j,t,w,x
1,1.55325796267522986418497454065235832955898094112460494595285109880615239491812959205899022096914129371297452018091584178109887698457737208191893842336169165393222525743585362410270964889078287928624548812454881410804170558665618165691145348895740886683261453030212131395596686283926105069103366877872657676044953688520602510178802060685722339768732422660552155876999763311960186715443795878406069093857969103274471071192929800163542575200171927902443129578804432284449580947699896532348826336300287002739273544340334958173582866868732381427091261569933947710311512987013265086314759358189938616835972642967595355891086640034560448795512647082061363360883456629170145132029409068991363808652568549813772409321978376118559093392281537844879165653062398937195169930394591328965947158611613125911574892429826206851961058016949433438899021966345840992245235132474136610407181830858529132674218741982193952980422288172593445315231563732261587611723939731366719257464163731700415987559902736101841256146460891687468e-3,3.98409624808330280773294173733681122524034829357586061474258167846001921645066664707683084614308676049232532810794084547518463268968871118305547710991740224259778016547336988535692702038484046684586970895129378292505131467077748770377926733665592889723502091924002373561818478538398610476869032253423324892861526037402255949274401674796413469308455648759379540785511915474032467386316690427673900999672378943197878249033481890436943561455150194997888190152307038246000073732368237656283274912124513126032266895790509202861911948987779161449228929648293393675738153816864084031806928325702656084572729401014734260670831970553330642209121087453802412405189805503904831687121724585168548296465279258595649430253210890861617512113908630275914818687714837997427516366320697571196949638373363159667201879527537297901959256708902850529790747840262357424158520817778492035779256387423924432279886018679280972594830806553940447356983136440228480028203699574197304347312513259301236114223727917137705114224954442550112e-3,5.38471731120880011086862738732760499120060421065966119569368236082896400783918780979834050903342197388475947731884704306806301423603070529682537754313573520356202681106384111814852409839007241687929548451393069110387408881954770794286561857901948151677672676126080715838502062728037214839087555875804959420472229513060129603084624415386766157217907104416029826691639891451864512485728279418836128011336365968903747105450156312949382225626826033942352149753854831349846543678146139603444262285362916513613751248817677645526660658533691248671617187866826062842052159512472522638259662013055954224160294705678934474349654021100405948677107265691983258418357059362699060153447710576220069438462260933810696889493583624009442133410735042561299414007276446464076275846433309392439889126252841218653172214188021831672725450362815683742300863104516036347174501233154231755644435867447826228718891750629634815343561896151164883372688925359633542590192568675362057800890752441268912724998854364646698855387726631949357e-4
2,8.16593836012639501498370919716859902984107264514431824140999492442785231760447814896201416982264315971118719931395334399200109322511259262371613235228934920126737935087215650446770456031294214436685017272871848480618508915641640033501069013891299590408849759913310825474154665579866884330427973946056651838355432193390880004498069261305088959502294367050281789053146542325267656503843630049948838822842025687796985774499694628837816411121160151385742289088830812642555432839692191530484126045994423595642720091592112291261318627537459477323125231561492810406410622648086165164201109864936452986447887845312101244828289390480504704512772221170815839950924919007970958187345380135127181371973858082746031605444040982470565495081136303647425845665417296962208128874525725095713196494499291700647037445842240714321191262309004763944668674331544833264816695007114209672579355565748277964601710665570908410316292451920208925312183212172584603933358302420050719176991781476756798027754450554119040357681682010479513e-3,9.23323415554547957115106595602363454810326698409070168564918275729279976065398682704025951483770897781904791602308179996863306395915455893489871705296974832021816045564376091127796873128863857062851824513991864507714163133998604669560177895780256201346570988574555784382798525335217283967898633793243225505591400277132384530226259879664900943500958964184387937577726525156221132190794450103242229995178696337158124378950989363646477101794709628756757721301043901361849968964455292509572501510416608837785858706218767409506381928908196868668249698291554118881122972734876257123433939779437637122418199498851983400709865597320032678698867684410992889625154175746550646423884029108185409769922581982356941774919282975992050420615714511206889950576402447436048776937347544876101112756297400729191720363218314826590366750607240179934610482748528969487009548270045643271523633845286084399692201337192323795649756722047959458655045845069940526129419886623531511500363349555835338004438721327025766204027871511392581e-3,2.83090255362988873080156932438765102667115354270286375838991005671442853319010271683535885683901571017049218241004065820013776595224507297285176748925444877806493763171262037452897814421696688131908123831776005219373078592535079840235983383140256929886072504979402051095010103619827449862568016853203578785372824912140150316222450310962440497318281359763134800237341191377317943733962541774629129220008440637684664137804365431813843732043826863117787215381542030874909775830726532163448843455694158742363228669229853550847851310809364682482034032396745563762213115164913976491674308456610563349713748285140995766839419532753130841702586784511775708343194422218407384967624295651168574766349425475594081612062003820821281443825940771104791351101480563728577930514475272437497873335295067817487469322680078408533997943452510439900073564905427255659774561114034694239557567538237521555213121027087036471536643506870224531897825808793951211918613280312015318054150429070322042264044936008937176664338229678162885e-3
3,1.99890675158462438915644872091011685348203912980383002571691637875300211464657853864052781480999881088041366127280783975563213124919621011583174266732817401431006793540062711922503700085963867938589793681739828658358636090573151537518600910525902468755343040975565084216004459356729910575093549739619779188155797290778173239674451794783740217464636540709343331660517712278664056031540625095105670355778897668575555538388923895628977184554060613173929700238975922830354758420926961531123898627408052815407919716700889637473132979619548880553866409302793322852556812667131883949072190501719527468074403614193633960596476679178922382721560110442030158942111550185216488547597698056770438640469371086586639043638376252432508544930675488107289668696757853978411715125532046904808199102418815672776067092912637576597907557217395196689964102448576068109744733224411789739293323442671063551226705024447357206063104277443903172414163364862461158012315954846355206765946695487470128308340700855966534974506135760799138e-2,1.43923539416616846748595898056460218197944472731437482370900613040729944700069665508651033557420857774701961311256412753321186033902552063165131313894166134500763829640207566976364960622525138373176993762445852344350119995472658558823009293768810247856134236151966960875069318385620145356962664008383900833591038100844603575189342734816327229846913050784221063634374236666195612486847423389027031356588475609919143927604829279475684298771461899071840112854421208863062270386105215269968638796747783131019915765047820980829126501708751105350582224814077102230457224205962192727237867798481426549139781192162588881406529577148827563766963568843798074539792775628913172807693464450132289215797498713200459972245692448271204986115243785095818068164199813114917838871284598525241821657983865443268394727046879347291343537852238284242840036034643933867473682346130043330531725124337880607756651146235830986769650351042032088146501947441349793232599867453235716258871036747640264343640245440934477697414837328799422e-2,6.92960984689927726523195592051643135362794758575874363706992264481058040623746002755350743115273908299323330286942171310360960769031386783575199514670370597736138372833796386280472758272260534944018047262685023791007232891186622150665454821620520145303936984674596139411067154467419633975930629282614675735075682366150832772596858823175525929658524520306457785586781533150067691898995820343279557174241104183063981571346123792420315216803288055914357195831806553896234689166316175676286225647143669147610526698836840910128265214437935378734723258842227163768679823156835638225330831769761839311990020671865962965659170540230826934174124856597355941432503968782326500125535098757020484479421369641770033257729827959350056445605715470202301973617622772091585423048022658715620991537888982857216009052342519770143019010519655914774732149173736653876514009363139399869778137713784155791714460916026947726885512247632176596452097840607395736491563479444127331539419820408657219739577966757855028996705430265631166e-3
4,3.68999762853628370603378614597629979567627315873354695444814331602885021744488365916135599247205687775694685083996607375539378906205551369252135581162943661541175753657721242189937400912609462161163828712760849289653433582299181405957523496522797231001751465663029026059769369865658449175251016388976938945820702827104909208569291765270178510712703376842159097248037855823667963414505357787591153192467856360906317211086937489683166886316211974771912621109823783328410491921207839984179779730315390812784105193551826541916358638091649193541148671826440283663791184813854120478778716261627467822172686716651788147833029761997529791190355548320861742177942428403511457427076209459408086561203608678883301095538026920293262789742881253822140496042627934463183924447921322135299161181445874262456221240350947379869077493737588909369602721631782057284414711784795325968825464639021067023181680102788279468601989208487689634930606405401335445892565792022635275420625401975796527303733756527719802102770904874085205e-2,1.93995962848135247984009682231738460166004883831976760538663948529734854763848969595275131395175528281701142791911372094103462570930897130291969938579927517739666671678946272058163469608911954310860420626406570321265962917224715583144800729487585538894727036377232180870570429376945464585967940024431830771284229567233810078462239314181335193454377291499820584783689823899228221865024269001833922849057364924579000860339431336270372827407068547337143880371448623377934929206950650748551406546960219192033654904976750796803343867142774577313912720873470678224053865294054467827017078438059827601605056641836405430371368364516100710645208550200269782986675527889791972046609219460737582665159314642428749900828709444567882980929072762645601325027049306397938745098354735469552983775735851023447038560396227447878086307035308360569337835249389625031190979995464117194308630880234653993003796015377524955680047594956559250725223247973404762516421953636136181336217368894665792241286003946956020093895340478487273e-2,1.27918952999998891376960080457019405226588603475364362226769451931812009547824580540611640004354002528148060932689321942799371087546342993502353378906612635851106352193316611239125103888962540112789234989011369266840561870622222131945384241032613014054430668188296738750470897087705247083551144253968515094245755680995710971564841735472959945221233214219435399690875896269837559260626856037776283109892942215656112879830555841300602907364498690619793566323921504252969269637699804948927560156317858008172156506879653085047699223056609199094972913613238977935840064949928537712189813838303791392870314003581946653816040177806992384502038526294812118640808226784329338829385058285293125306122979970564719941613869280512764171736003433304522244851979267609400176288226211419815689749875647212801244121607496249059192813986855910167018895236952168502329606809290947090714340069840966851838405830980909968279430084218635152104223037140664155606405367771589731186054668601988925812714081372060000206720944123508879e-2
5,5.87197321039736592284417687348872049716554264267578839658369734391918686524041721353920808571339475732547094657522588086315338100141241332113402913441495055221141819811434417532815631030488179585411754872759587898439271993826821611875849056475311955935203232657791496546056824025288220981440839797325149588502121053209166261465456721989399636599962384628645552532421424211404578788405720394725379799773923600671788287737305857449920818547837486207184855537087837159875444064010397747166475929643044527179505069989199130815267890236326878241104037949908852208609816392982616121457600720892390446960588891738766470918451787564721087126588637775154622143425907858451732066471280904309850638420157207846780612317918220375349163225098671978163693761998981851189306077078657916045004211839046268997370042292876872511437353343325156432727632509967347981001023549552003156150671115374054138115963737479824090756762453608905165131710745614119361031493312512778639743006413422900431739150906320166784402285375122729416e-2,2.42013364152970264514690702114037589076359045986863681725959683959027128385510763988837197817811317271873229775360036909432213043798481054426673875524768420613127556947884325062465704154132836770719356575391997508428389049964265717526259245410936640183035412421174383435622344828469568500108794969075746462001123609175957306938662352492681968931702906856641313162434681240764220280397407123898895491381164496118847697021191634102741709943209029001564685957622098771309034918474747480959301607173543405534959460938919931125526526568983790889060289751192213551299867931759559812528899243125944861869806743559783017197185569959663951690382809927492497474699898529550049352224797322762976127400370911030642821651660146004598573570737160917948412815183681471627392825028976092895399520898243670488929436924307011170139326074372049839321514160593517084105342552006375529346955518879758151829194711703156770653533517374319214488367879268767158009455215852681300187351669718936021067301705915865519014008577635761958e-2,2.03552640355657333511971633649383883915746080204157555750721116259222464599228848870477383361885725829645581707382627747284781284303219687865935048889854897503881489292172392298204660469196461705930702953007190549109855621996537579787245919172711355145359763112337534065996500010748170764658352838579633348361736965612945763768288337979650552553117415885129924720002766315029778439561473944804104283192781944145334832738683523517594504801897682932335721323571660891767176604155126497339103595427660837407365428236990492836171929296254064546533184531827165780293274660963316537987138673858200463888914957894985568460421455583083713950570386215114686336622586891649313103619308210230723866277776832835736691605671808241026609132070661566172696338045962023732308921329659991103799517899679608832320099943109083459526944737921926208602440894132538347270767049918826425135677628677192014926606252099721218753179159595917818709565351083982985010026369353435375505275965674205451172645923932777591726754488938706295e-2
6,8.5217118808615801278550940133749041780465651914829160596523508273171746705209182458523778245929919978142272721111341688598546644117231194562115353067103301356220570578462348212456087440189436447510744749251938260483774869236424008387726801159053526292577224712782305540734985803872609783648670038741134845017943814754335891870507674126684909079712776697614398488166758489918409354319854387078207831813958999713194063891109203994935214740628823320684724837650843529783849263535579691528558640442526989657762227613486905180139053754299047060966469789282377284890196186999503588367676453550040470172360095363746307083007704041217635591562233870852261168211878668606182503229998399428997554293413363869220705320909375453208287447990273278341915574500750556133655094482616663119267515959190559985612724045716239757577359145091174499878908193832476593598761435210126749009626776045950756329496843551834140416219416180203682354547079981709319004239110893426349493635779754192179649607681338061670326903042419768432e-2,2.87465781088095332408608447010280643985603353608815672743578995016160737049771884626059998254750626777799871741399227814694395473738200840588194472798590207038074325074457358235901272002591746503442924548784890259385560010488802300185380234379385621797672591665190234153570535733884378295610734867092568216325708697718349598712569646905499900239135060321124327779382384783889704422907427363975345877423969716258447631779688692633333791190872819911878874406345546617224381831585537827143833738434212801808141724725276614375351547390960195569110207163228584719608401624671719559284452507222700941406845650572185314637106170829924950091320226504948947780005408694176232323718900814694726505008199968505799428279149320670617546885695622993895980965307499102708767878665514161036543870399878296240596213010950080024119741307972276582632876392349562678769021940399716059616436350553958478916499380147530199627068298482126236466594911594026391001588555525182088889238784763276512882589213925968105992908537130315234e-2,2.95386080897062886885972679933928772752224896387492790219341417634240771655585029701122829190789860011697334650716189663583087050017536032536916333719125800272586868819550076452766448453573344131370373150475719272236023554075239078422342283433821394193724671247578776037420057193681015070571438379934139388594354644129762738582987722330672310839154023933838252290485162721882658083931420913213177631115215945137648639597619372934632708633775450221087731797058108789831908347911555778660930778715569126191306403811412100743700935159044425191087455253268038442639426789311500835587105440867487523352338256296105406688017284134684418310152855799653606055641881340656830433072571536363001428612054048264168437498356890981159019177825358407246003457695104814637130215273678259305410229504724313570237282258441097803991306863077259546313785812022159470730117810828877140795896814939396714339693323094016252793203260715119720002530129313556558959188300111639637002579077742125563990174406587394449812087708412082552e-2
7,1.16111283947586902541011329512748434152558191383545773396752806317420714913502477473695198706880157898876512017491403559156202588658187803014839186367265234002821726267431949959555464317356430138013704095042429875529654658692820045192621407404795169648206180528231749878813916530095921648230264146416361452403308750528153664315645742484904706005310461352256369922126291447551752044292865564099311312205100865017742194687316385840392672273767333179453633249802515234160694077597899727373762194324521765230691182366357085512207977974981100036564843599627191769984236279054704149259603033860730375736921268393151917017716234283450114356509632596867288328651269785373988544614155419295766504208847448475120555953065773614145602329557218712533229959278134796824022471703624938396684152802043636893112160726880883836593442217969505493943208313318790004286788153819846738665004225807688430087451625407549092870790449257829550459143221255613020506232239275115260882998882484747351566279829656385810920370965061079602e-1,3.29871149410902475640642575579811806187214768283301894835157580210718362330470896829099569557993687197391029041356186994225481079902381213238816600028862340517011638391549431998815254920094342503251053708075281240672751282036418328684234255840071753220179104777672226862363005681905841939013310479278427127556165198571798775140555237676807109293725254916890986023306939804637115150276474041916962390262824341693324401976674951889586101454555679531422220356725995380927762685547489007087236499572702762191360509684075686810526716750791151906179590454232298906302547347367446566487805778350698586501517900263011373611010825594881521536823069864230533769206735664235036820803248785700776589155631651836561071657296135755032140158379074927624684643007186354789579189197483775745525072360822833807004989481877237730091509558148282462420158898731634418376682611357117359600383864600828947294479748457692326939247522860239051235673266098230522310336416054819019988083534147295228781833852887795050351460165822657962e-2,4.02429218961599079899991989489816932512067436954058699553342859302599973777010204181626188034940989591086444712495501014925706400896006853423726199209417499731251296616126365617963188833531220538408552137537523547596524950701653402215778604120420714102379648969924026417024125432173450858190312567657848801257139466957578701712740213077202615258945232648719588230060281218599944469277089750729144857019734885331281489929976097218393066142484503890610817210637933211009523576707714400313980889562075822623386633751383725361100351772366759189789423391379404945553310774156523552948544514827787329220533632699872796630833183483775482581035060424439485534504627503082225915648405601138476366983171932202751126991807781892844483002832513660582739671083857743380704792493344459336849900845121844594948886552029305131204913769009341038259851535091579596660460225252571958880286871426700098774584642015222760242079778092085926549017673523836506598488412658578876244420172169823087467131990619915080236582100697196018e-2
8,1.51074752603342101533853805986679965808823099673022671810138576630011639378420019652309181779955476547274652800293295350280368673316371221836365746126267308772247298594925933557907011024361974345821470988483219549511040691953147998518804885281891306922977862421212789587690591642443253168998685300810453294477262172267894746627706900242997886318497446244924898571098255636965285097259581134858900042877302186679924887757526887270274617854287728300378964065054177261654758607571793008952479251313598574616449908482718797341306644085153644070094381737315824195218556289112958140593796654909120647663577725430697270099877389181473688412202540350170272403877811590159339258596644347244906212193122614003072674955210519888527588052381541956440880253890530596158260271772712603745209044767351703224971077253153190604374610832584889719213390113065072413476330021955076526487980626710935540742404367693206726177095801998984256965480174604244603061167663010256296114569119842171148387763586264880465473724696054401363e-1,3.68779873688526031341219250110953670768852630185247194706345911872996996573176058552006763583190916350961271184413150551527058170295245047737750302041544282870927279783528485512151846282508913879694414819957981711610288209440936468085626374129183482555473528398211677237200455864051427572858649356407598066665758188200030478059194998759631517292007154398612370249393330522332878645202494847729254903836261523879091890345993410576475447238119512519034914465044431824026759798687731814056674863167376950734914132422956268184967335547558789272048383374481627364518459254597292916042852120143453017926813494723592065085471896566646595800374717810417106760521578860572568315893650474893244394902269742987307627974732204539398431695713209531926583973754220272281025510229172336778325431625360317395288424857211477544680618744370381883060760411388203291994580397363363002224374808658145684735846075623151979601056753306486838833677734771757641345381397549447078188524105710933785013773907205602622768563065557880648e-2,5.23521740089585072491659203214010772341187886648429736438593091162234477652874364786600951110318995769671960503726504432532000880247391598023603091043115788078246034482073241052848923346550557217023186456614966969248864287293073157413943894747524702483288260244613610687638381368718323335117685273733401387980601114321352935286435466410687361922244486273852280944246260664813035984018020581757485819086910440819822225997960051755765646386486163915356995873437287534487944047807519410351815892849238058267104057308137072932371106716989127299429396007240521791476513755392628156870538736337955270765082281067385015378940187430194668607157083988817816021303403064487520499321702230770672054597366806496694085501985451514088357836786827657486196563916215166790207138524786875177235142352994520541090429424478542637326380200218400647644281627606271175153705379422067058961665431755184563918339522185692562051238511995227180503051084116977104325588139588901022269231686620404868378297114879048157925994400397468604e-2
9,1.89736908505378569429761221784405350396317653585235933702474414937832342512555441129423707772336089467606050019312596652488721686128893530699262124236562584939020518928728596297725042270176834921949402152720898855582207338156660481374185691081273669591058672145308303198746098228755817686853743540293206780092093520769329038353331961330219358168017881498275804198245017778093279140746754503373987639841059846286645435081561959452714576537780873086307827442044581986219271409414706748878870218024578571916347508122543419354008556268043693889110197832305360550718112321240376383083621356762700037451789439850263603433499964316659391447962831396567844225023230582982839279007082748824854670898096505322831129041547454586303560202306016871733183541544228054063583464963741940699304336748379352813960843754176846101946183974752910353479802983364575208847898796258268958209656673939153639081184367500991026891674019111681811129053809701192120009158511270405203480031970215686015120217491222836047640248918519240187e-1,4.03779476147101076773474692302648654379464018542196499451292968530255902835131728021062013846089040403747080737004809279231163989814643768177631789541803743023036543629002516163883799573227183978671191714557165898343486745902907233483794761315295097249251832793428408249255944545981630181176919485097168636340605605821016487463878853398033086809966337658326488782617613544075538966221306735769691787991030179112110906209772622556739232308166917883150629100580020154977622105097987065325985391899379143784559669496157139490842021730016359563157314745461909052263983556723504331711310600335304329822493447545430834656052829459684610262581970977630233970894671797867185379187992194790641661212740702279365838639228154709459223219440728105801611658011841696348112843772188366331389214121995879966826477941159492346011178588317731443161166101251643042793098102116399380532072798596476894242597207778125743704365136348079047432792259922056972660795387421585532423358605600520790929747824706408191722739000062478186e-2,6.57344048163317965496261401127646634974170627484511858590441849353540666441354003952379517541710803263728946814314227691222425201822476300128557805599854755424404434974803182131289603435821353023475864316122097240605839668829598105975373824038142805024412300961928883054917454555280913289791040963733130468623245339357927366043248597740731312931834698783429917374608167155548418076837481862955335397774045482729671376339709705093476201105988766435176761566097443172407764802315748259864618712161899979610347212734856680152665279347047408416904564841444224020823294071874856383949958884430173628278843959592699481554576597941762082500173976734463065654979573393672687514694057562020301483602073452626917709834354393010842743071262570000878198506886052121231586426913723861685714234606856594262091330534721743081606257924103582676220644512958750129933083606615810397051549389549070349317535107361967235179181141412517981279563075272993120281423503278164219141602319696335245130409072435024192761770540282983562e-2
10,2.31687925928990050367915103344463602917910996534851447273628258543992545690510810684429419951405048709542070846482213007061907709391382822456347984230796457088957240801872984894865704394181810159945903161300373632563341252573207204001447606172864509516388974659171969232613790315974712900756619114789631138147478480506681727503213042665239403964252095236589664043440209526496804644125902768794152521879200174795836871892194281271744338360958064505157647354077620922404051389308632981045496008673121029232359102691123619246248956788039294702856436672406607727408726714078911451493586673389081405060438749534846128726055391753493011069435051683718613183952694312925167945875819635483629877337767303811554858818545687479020801712685130579187278134721515969483293990359183068080353902898629767202481402901654068755088894938136189067923521751578239953955124763680450812110247138487275433326707885805046275442790279794277996946419948925612644361020337540183650506285475340927918807916305283405711997320700439434846e-1,4.34498936005414899011937653575628512883766643717726720061110649410767911271307471239775167548195526651077388009769604703309741815412979362130644353884910146178377014772386112365642410546362239073054334073028979438538212977653601849492022714679892365437775630977444806105566264596633014885869563065431717852830262642708178068232713553785142831906794485374747088204628474362827494846622053332784442655023285040567772496530398524595840238947348835011086779146733539192606992068663074476054227028042610507934393020321925777717627438676983672065641243420764365755925596330367988601026267706124911787764350137443600536463117177901338640177455625629695876152437328726895105876830998650426017156402575335706892686177756586545698469478289469568334357241016496831613008410219493309658330452031427850543910140449745382914775348806904041165501310036217916316250621744030956795856239775215052875456517286353863013532921292121293198367252381536992484469045802291055052088798079566802277706922280269213859535957348934243334e-2,8.02430747816140438919293004864314111035883925249467523791259489986318293436243391371210213839778204389271618895043390228156735380916801843349856280532692128596198186406496081776073527634693818398324200214928413300117397390498355501425787549839972750977698873671712301255464176242783769034899986208892449247524381611781078332120640088909812563897563815191859438595055767739877471150109529795519488418033888755447215288775922288029319575096279227387770349582884042124206147612750420192550433877807644672362285226984988863342566702868845185216240056427319778325406559447475324800798547515737129950800517383666322366544046924950973909445813303237051741424459335892896121853974946414134000842553836596230493001925263306848797589475019128887101871378021696372741708876179664204928597162222035740826466239238714268288171285939216766782596076255557578589153218674240210387656926466212481585884362694984956180926504160175904820904851222619619415998221347279183188052545025417011868806368951842494550704738771449289212e-2
