j,t,w,x
1,1.55325796267522986418497454065235832955898094112460494595285109880615239491812959205899022096914129371297452018091584178109887698457737208191893842336169165393222525743585362410270964889078287928624548812454881410804170558665618165691145348895740886683261453030212131395596686283926105069103366877872657676044953688520602510178802060685722339768732422660552155876999763311960186715443795878406069093857969103274471071192929800163542575200171927902443129578804432284449580947699896532348826336300287002739273544340334958173582866868732381427091261569933947710311512987013265086314759358189938616835972642967595355891086640034560448795512647082061363360883456629170145132029409068991363808652568549813772409321978376118559093392281537844879165653062398937195169930394591328965947158611613125911574892429826206851961058016949433438899021966345840992245235132474136610407181830858529132674218741982193952980422288172593445315231563732261587611723939731366719257464163731700415987559902736101841256146460891687468e-3,3.98409624808330280773294173733681122524034829357586061474258167846001921645066664707683084614308676049232532810794084547518463268968871118305547710991740224259778016547336988535692702038484046684586970895129378292505131467077748770377926733665592889723502091924002373561818478538398610476869032253423324892861526037402255949274401674796413469308455648759379540785511915474032467386316690427673900999672378943197878249033481890436943561455150194997888190152307038246000073732368237656283274912124513126032266895790509202861911948987779161449228929648293393675738153816864084031806928325702656084572729401014734260670831970553330642209121087453802412405189805503904831687121724585168548296465279258595649430253210890861617512113908630275914818687714837997427516366320697571196949638373363159667201879527537297901959256708902850529790747840262357424158520817778492035779256387423924432279886018679280972594830806553940447356983136440228480028203699574197304347312513259301236114223727917137705114224954442550112e-3,9.98979369578910409107149540612300699662232818670379293945171064680429514441244377180053716877154997408243038860429645846822799149308797747647435581269773698008204003436599727915968601778238989673451249233930069517070778475207437530440343817477761318757137462620595536693778005956816378576417637797931427323303632490896853733724571752939252014988430311877638660062830705563087669148556766501072291308216809535518140194179291040456262448191421894796777336439462890194118064062498196915904634723813624467299146408999535417840000202692591441176301124894984854355687198358967239558711906411010789605028253194987490132166800771418917548845996226171814313896499157775759211258448638586015409811652629400555115346206678773604300546392333647127651366965264046065850508402253955855613116749648816068256152583368300504719465515945051248261745590006548363803179038844228036991819117083555061114163940507099419971562442887282837975596166495120301141638118751710041966633433324848449508796863419627711844053334021245958917e-1
2,8.16593836012639501498370919716859902984107264514431824140999492442785231760447814896201416982264315971118719931395334399200109322511259262371613235228934920126737935087215650446770456031294214436685017272871848480618508915641640033501069013891299590408849759913310825474154665579866884330427973946056651838355432193390880004498069261305088959502294367050281789053146542325267656503843630049948838822842025687796985774499694628837816411121160151385742289088830812642555432839692191530484126045994423595642720091592112291261318627537459477323125231561492810406410622648086165164201109864936452986447887845312101244828289390480504704512772221170815839950924919007970958187345380135127181371973858082746031605444040982470565495081136303647425845665417296962208128874525725095713196494499291700647037445842240714321191262309004763944668674331544833264816695007114209672579355565748277964601710665570908410316292451920208925312183212172584603933358302420050719176991781476756798027754450554119040357681682010479513e-3,9.23323415554547957115106595602363454810326698409070168564918275729279976065398682704025951483770897781904791602308179996863306395915455893489871705296974832021816045564376091127796873128863857062851824513991864507714163133998604669560177895780256201346570988574555784382798525335217283967898633793243225505591400277132384530226259879664900943500958964184387937577726525156221132190794450103242229995178696337158124378950989363646477101794709628756757721301043901361849968964455292509572501510416608837785858706218767409506381928908196868668249698291554118881122972734876257123433939779437637122418199498851983400709865597320032678698867684410992889625154175746550646423884029108185409769922581982356941774919282975992050420615714511206889950576402447436048776937347544876101112756297400729191720363218314826590366750607240179934610482748528969487009548270045643271523633845286084399692201337192323795649756722047959458655045845069940526129419886623531511500363349555835338004438721327025766204027871511392581e-3,9.95953595404178368284425605744796649701624578389191294860264482256432806742608526715385697652279911854259111822000700400328289452987782381848775800485659314568943951505956473193525955630387096614864748461617339654482189024110078306670950644814406854943266876526400478413967089869013362702868351747127136767503991625244795160411115944660120393630668632796368733731819720084621866722321038692978634863669387824257363066667582390137180495733939272007054846050495413960022182939255369001553967004946416557889503153257007271579681772362674140074909534703208002180356567583009491236592904682223114390187587964693195768504526422693095114384512463423713869133951849256370954895141455430093736584827045177805180863886430848434257533855367911799709302087803120694093439295028296263040147333411439631698728548508267651280761295876444223075533401650209247955271229808255741727560627947268989095593239633377917722851312455488496704476060634101959084244560969249570118057209479125401145580510532374633677857719104900578942e-1
3,1.99890675158462438915644872091011685348203912980383002571691637875300211464657853864052781480999881088041366127280783975563213124919621011583174266732817401431006793540062711922503700085963867938589793681739828658358636090573151537518600910525902468755343040975565084216004459356729910575093549739619779188155797290778173239674451794783740217464636540709343331660517712278664056031540625095105670355778897668575555538388923895628977184554060613173929700238975922830354758420926961531123898627408052815407919716700889637473132979619548880553866409302793322852556812667131883949072190501719527468074403614193633960596476679178922382721560110442030158942111550185216488547597698056770438640469371086586639043638376252432508544930675488107289668696757853978411715125532046904808199102418815672776067092912637576597907557217395196689964102448576068109744733224411789739293323442671063551226705024447357206063104277443903172414163364862461158012315954846355206765946695487470128308340700855966534974506135760799138e-2,1.43923539416616846748595898056460218197944472731437482370900613040729944700069665508651033557420857774701961311256412753321186033902552063165131313894166134500763829640207566976364960622525138373176993762445852344350119995472658558823009293768810247856134236151966960875069318385620145356962664008383900833591038100844603575189342734816327229846913050784221063634374236666195612486847423389027031356588475609919143927604829279475684298771461899071840112854421208863062270386105215269968638796747783131019915765047820980829126501708751105350582224814077102230457224205962192727237867798481426549139781192162588881406529577148827563766963568843798074539792775628913172807693464450132289215797498713200459972245692448271204986115243785095818068164199813114917838871284598525241821657983865443268394727046879347291343537852238284242840036034643933867473682346130043330531725124337880607756651146235830986769650351042032088146501947441349793232599867453235716258871036747640264343640245440934477697414837328799422e-2,9.91879326804899045105038249368572308687012208065525277826204714037688065761952005407776038875597149341671471783976563745693051784167598996422945497044911624370189261337303161233386708596081397848838115068639692252419051828824078765088607723129386579259730185910944686709452900254694565367146341754357434914853032994133321191462924664868150382430862324448336181963387614835574666906151131345705358877559920609427130094676107736953942728519537139347601032162052302354651830149392794926169799758171574665050698737330266397129771329893451523936167884801520045374768640795980536791425536599190561671901224407173081987582522172849258513517071203976950996055277271177457841278292598203565728583662808180356093418359272793249713723752422310859511871135494773544488700363498392714837088815903166995765705599541132584804801617276114819650593338190725604747032516373150873070153724345409797277080159866344930908643924847302518475563092109252479654857812234840792328216315397729015120312284191039039697924832891426916885e-1
4,3.68999762853628370603378614597629979567627315873354695444814331602885021744488365916135599247205687775694685083996607375539378906205551369252135581162943661541175753657721242189937400912609462161163828712760849289653433582299181405957523496522797231001751465663029026059769369865658449175251016388976938945820702827104909208569291765270178510712703376842159097248037855823667963414505357787591153192467856360906317211086937489683166886316211974771912621109823783328410491921207839984179779730315390812784105193551826541916358638091649193541148671826440283663791184813854120478778716261627467822172686716651788147833029761997529791190355548320861742177942428403511457427076209459408086561203608678883301095538026920293262789742881253822140496042627934463183924447921322135299161181445874262456221240350947379869077493737588909369602721631782057284414711784795325968825464639021067023181680102788279468601989208487689634930606405401335445892565792022635275420625401975796527303733756527719802102770904874085205e-2,1.93995962848135247984009682231738460166004883831976760538663948529734854763848969595275131395175528281701142791911372094103462570930897130291969938579927517739666671678946272058163469608911954310860420626406570321265962917224715583144800729487585538894727036377232180870570429376945464585967940024431830771284229567233810078462239314181335193454377291499820584783689823899228221865024269001833922849057364924579000860339431336270372827407068547337143880371448623377934929206950650748551406546960219192033654904976750796803343867142774577313912720873470678224053865294054467827017078438059827601605056641836405430371368364516100710645208550200269782986675527889791972046609219460737582665159314642428749900828709444567882980929072762645601325027049306397938745098354735469552983775735851023447038560396227447878086307035308360569337835249389625031190979995464117194308630880234653993003796015377524955680047594956559250725223247973404762516421953636136181336217368894665792241286003946956020093895340478487273e-2,9.87244637788962201873666618625621596714059992914785798362599028155849175730309156751093475825382450105825833500558820382544929634868777665027555056403830504477881718382181532131095375610510073605952159659292547109794833429408237617805336006919856413942205183582641253974819793229340577587890751524227532625595932756817816917856616098136846328073401061634489812862095802773626170984255757246339028950322475421992864483878409010620098872437826282551626203356101379800851636468037814134208108596924359546726415974462955569263399360649859753388967264960384575886910389108610343681664684730391555908993747306030702707391133342904438205086728583433595910586097496069887338091547993220170598057970935380182378528601775012571818190498590227211754650366851914762062039871198132223217828551263918053187080283578799264591760768593336326190339381257756159989274337662329448249124196019964368381091798379040174570527391032044238184609751106023158992362421712049050689334968226150824805353363440881120104234948986525681044e-1
5,5.87197321039736592284417687348872049716554264267578839658369734391918686524041721353920808571339475732547094657522588086315338100141241332113402913441495055221141819811434417532815631030488179585411754872759587898439271993826821611875849056475311955935203232657791496546056824025288220981440839797325149588502121053209166261465456721989399636599962384628645552532421424211404578788405720394725379799773923600671788287737305857449920818547837486207184855537087837159875444064010397747166475929643044527179505069989199130815267890236326878241104037949908852208609816392982616121457600720892390446960588891738766470918451787564721087126588637775154622143425907858451732066471280904309850638420157207846780612317918220375349163225098671978163693761998981851189306077078657916045004211839046268997370042292876872511437353343325156432727632509967347981001023549552003156150671115374054138115963737479824090756762453608905165131710745614119361031493312512778639743006413422900431739150906320166784402285375122729416e-2,2.42013364152970264514690702114037589076359045986863681725959683959027128385510763988837197817811317271873229775360036909432213043798481054426673875524768420613127556947884325062465704154132836770719356575391997508428389049964265717526259245410936640183035412421174383435622344828469568500108794969075746462001123609175957306938662352492681968931702906856641313162434681240764220280397407123898895491381164496118847697021191634102741709943209029001564685957622098771309034918474747480959301607173543405534959460938919931125526526568983790889060289751192213551299867931759559812528899243125944861869806743559783017197185569959663951690382809927492497474699898529550049352224797322762976127400370911030642821651660146004598573570737160917948412815183681471627392825028976092895399520898243670488929436924307011170139326074372049839321514160593517084105342552006375529346955518879758151829194711703156770653533517374319214488367879268767158009455215852681300187351669718936021067301705915865519014008577635761958e-2,9.82359797271215467089549495877716848294359542193795146289482068584788327361479499892796851886342837452213163157907208707136897800966949009072910036742262074487299615946204288392896106467453224680194695646475196619881732233326677704188745972687172507744388919055961216793986850586450727601323935249312069913970324314753500873214726324443562160133866460666167127074145087022122183474401319173835478134748496147390929404049994158931441275197518404118347886888291395343175032697615781634561433139905845155596586738153062095907232580380777228491778037791606052811321540674701125656276379402133545286961860579329211666951794733774110327890977247544890314454462962832835251087615192451053663263736615480284950255621720948952014573840562857944943972447877349213448952744926056442226291235128736975997829976784718614692043394932585716397423727213340191248524566374937390281565803115625288699646118922139175225268403379454122936282424189891962134490052471056821649975010834206257996973976184633142345745968766467099223e-1
6,8.5217118808615801278550940133749041780465651914829160596523508273171746705209182458523778245929919978142272721111341688598546644117231194562115353067103301356220570578462348212456087440189436447510744749251938260483774869236424008387726801159053526292577224712782305540734985803872609783648670038741134845017943814754335891870507674126684909079712776697614398488166758489918409354319854387078207831813958999713194063891109203994935214740628823320684724837650843529783849263535579691528558640442526989657762227613486905180139053754299047060966469789282377284890196186999503588367676453550040470172360095363746307083007704041217635591562233870852261168211878668606182503229998399428997554293413363869220705320909375453208287447990273278341915574500750556133655094482616663119267515959190559985612724045716239757577359145091174499878908193832476593598761435210126749009626776045950756329496843551834140416219416180203682354547079981709319004239110893426349493635779754192179649607681338061670326903042419768432e-2,2.87465781088095332408608447010280643985603353608815672743578995016160737049771884626059998254750626777799871741399227814694395473738200840588194472798590207038074325074457358235901272002591746503442924548784890259385560010488802300185380234379385621797672591665190234153570535733884378295610734867092568216325708697718349598712569646905499900239135060321124327779382384783889704422907427363975345877423969716258447631779688692633333791190872819911878874406345546617224381831585537827143833738434212801808141724725276614375351547390960195569110207163228584719608401624671719559284452507222700941406845650572185314637106170829924950091320226504948947780005408694176232323718900814694726505008199968505799428279149320670617546885695622993895980965307499102708767878665514161036543870399878296240596213010950080024119741307972276582632876392349562678769021940399716059616436350553958478916499380147530199627068298482126236466594911594026391001588555525182088889238784763276512882589213925968105992908537130315234e-2,9.77433497737136726282587702181016469491571805431388715008571966419744570198772192974579437439568047816574336511334639286610184100133350897736255880562876916288742072909514036431140434538990854949593020228313014031589504270359302226002498375351359675828182399262809162806321512789338204751322859245304701487595313518319312900202454694013632671945542188979607294899961755049048564918100815550056474738069234828195573540352002064590660795512656353883258912334534469447971211027537606847127691181127174207273419079198206296508238481140769289787681324751474362062779023094093759312830527291001969170199187807435184444301474021775553151352470386222994623258234848860603842107339245806072254779524790001247416910139092644110121265090377081583452965380296159476924689779300522268120933392090116467730559324408722226880984550059103383128311887002211108818124592711519692542864380418666583806625591102644009668807309937936870906565119806628040166322639052755822414317908169862244520611644071939782227765083973808281509e-1
7,1.16111283947586902541011329512748434152558191383545773396752806317420714913502477473695198706880157898876512017491403559156202588658187803014839186367265234002821726267431949959555464317356430138013704095042429875529654658692820045192621407404795169648206180528231749878813916530095921648230264146416361452403308750528153664315645742484904706005310461352256369922126291447551752044292865564099311312205100865017742194687316385840392672273767333179453633249802515234160694077597899727373762194324521765230691182366357085512207977974981100036564843599627191769984236279054704149259603033860730375736921268393151917017716234283450114356509632596867288328651269785373988544614155419295766504208847448475120555953065773614145602329557218712533229959278134796824022471703624938396684152802043636893112160726880883836593442217969505493943208313318790004286788153819846738665004225807688430087451625407549092870790449257829550459143221255613020506232239275115260882998882484747351566279829656385810920370965061079602e-1,3.29871149410902475640642575579811806187214768283301894835157580210718362330470896829099569557993687197391029041356186994225481079902381213238816600028862340517011638391549431998815254920094342503251053708075281240672751282036418328684234255840071753220179104777672226862363005681905841939013310479278427127556165198571798775140555237676807109293725254916890986023306939804637115150276474041916962390262824341693324401976674951889586101454555679531422220356725995380927762685547489007087236499572702762191360509684075686810526716750791151906179590454232298906302547347367446566487805778350698586501517900263011373611010825594881521536823069864230533769206735664235036820803248785700776589155631651836561071657296135755032140158379074927624684643007186354789579189197483775745525072360822833807004989481877237730091509558148282462420158898731634418376682611357117359600383864600828947294479748457692326939247522860239051235673266098230522310336416054819019988083534147295228781833852887795050351460165822657962e-2,9.72607433156876505004729936970192937434323571534677710336850217606753392980286058957378720061901487292263665149720487370436688105315331436477900706655198118652862283507821243385091818216678275523982283194903125587051285809980547933390309818405248503219575579837967368006274240823583875936945217359452632028818614384832633459327911288539354780215242977824154212463652018076982167851186333868598047397556238144772492556628652886731866960313270377504802961922519602558386712257746252537474885890638843920850288163186227163623581633905443705354823806671446723620905895439326039121040826355333275809193636430891757911614574440718928158119000568239342003422185979365439779031006530587959856220229808915193104809028840145528643073858558304644589429160169964045183491421825747376920101918613289686279297811965702859954862027327746377106031259939394192714021366938780276152505917987523190737495505335751763510340457080512386627467431103919339915704907358656517158188317889575081121259834205118754245531363893807836811e-1
8,1.51074752603342101533853805986679965808823099673022671810138576630011639378420019652309181779955476547274652800293295350280368673316371221836365746126267308772247298594925933557907011024361974345821470988483219549511040691953147998518804885281891306922977862421212789587690591642443253168998685300810453294477262172267894746627706900242997886318497446244924898571098255636965285097259581134858900042877302186679924887757526887270274617854287728300378964065054177261654758607571793008952479251313598574616449908482718797341306644085153644070094381737315824195218556289112958140593796654909120647663577725430697270099877389181473688412202540350170272403877811590159339258596644347244906212193122614003072674955210519888527588052381541956440880253890530596158260271772712603745209044767351703224971077253153190604374610832584889719213390113065072413476330021955076526487980626710935540742404367693206726177095801998984256965480174604244603061167663010256296114569119842171148387763586264880465473724696054401363e-1,3.68779873688526031341219250110953670768852630185247194706345911872996996573176058552006763583190916350961271184413150551527058170295245047737750302041544282870927279783528485512151846282508913879694414819957981711610288209440936468085626374129183482555473528398211677237200455864051427572858649356407598066665758188200030478059194998759631517292007154398612370249393330522332878645202494847729254903836261523879091890345993410576475447238119512519034914465044431824026759798687731814056674863167376950734914132422956268184967335547558789272048383374481627364518459254597292916042852120143453017926813494723592065085471896566646595800374717810417106760521578860572568315893650474893244394902269742987307627974732204539398431695713209531926583973754220272281025510229172336778325431625360317395288424857211477544680618744370381883060760411388203291994580397363363002224374808658145684735846075623151979601056753306486838833677734771757641345381397549447078188524105710933785013773907205602622768563065557880648e-2,9.67975745676250073367101552673197634794407633987276066790106498125716448718629686700778448080487918474167348978781505136715235375368069707324483318973314695513771311321322486602242261279264296283385898516681549844550574519367777345676662695141745964534675123550029690436315873375630486079821733479717019092858819943827676275066628455376871493628911544878007066470529736883894670366271978186713820140983390108671564332885850301520550395987661544826434882182976776605343986492698011443848368311780206945116422104693647465659297961479953614591833986015771684573093601188498556966597704781358021183953554737096195084809910691579209890161691154221183100773227846206968327834588233616370260428082000742418228600964440319844012659126704786439073001838982781410270529989700680676563089422214099185006396605502709896756488279144290601130758741453865415602190262193043385216215454730628702600485225935592252956646125302061453112281693177467261172041173532104126967579759534331661752764514731603934854086683336273312224e-1
9,1.89736908505378569429761221784405350396317653585235933702474414937832342512555441129423707772336089467606050019312596652488721686128893530699262124236562584939020518928728596297725042270176834921949402152720898855582207338156660481374185691081273669591058672145308303198746098228755817686853743540293206780092093520769329038353331961330219358168017881498275804198245017778093279140746754503373987639841059846286645435081561959452714576537780873086307827442044581986219271409414706748878870218024578571916347508122543419354008556268043693889110197832305360550718112321240376383083621356762700037451789439850263603433499964316659391447962831396567844225023230582982839279007082748824854670898096505322831129041547454586303560202306016871733183541544228054063583464963741940699304336748379352813960843754176846101946183974752910353479802983364575208847898796258268958209656673939153639081184367500991026891674019111681811129053809701192120009158511270405203480031970215686015120217491222836047640248918519240187e-1,4.03779476147101076773474692302648654379464018542196499451292968530255902835131728021062013846089040403747080737004809279231163989814643768177631789541803743023036543629002516163883799573227183978671191714557165898343486745902907233483794761315295097249251832793428408249255944545981630181176919485097168636340605605821016487463878853398033086809966337658326488782617613544075538966221306735769691787991030179112110906209772622556739232308166917883150629100580020154977622105097987065325985391899379143784559669496157139490842021730016359563157314745461909052263983556723504331711310600335304329822493447545430834656052829459684610262581970977630233970894671797867185379187992194790641661212740702279365838639228154709459223219440728105801611658011841696348112843772188366331389214121995879966826477941159492346011178588317731443161166101251643042793098102116399380532072798596476894242597207778125743704365136348079047432792259922056972660795387421585532423358605600520790929747824706408191722739000062478186e-2,9.63597907594924208390608833903018744840027387651217158613061846224488193399528726277100556749706867663277905940279912792106222313025748003325307969098011710940869609292069357128915250230687673895807931882900503057221863634273502142334388904858015532785283498834388608302714312176704737077184666553279287278642660881383778792512768297740453596141809829154796683118414745679186125639875828863533994842115819352393087786582720785680109098096003956321945154292509681510154969454177615460136556676387027522837296318876417135484230177748327346102830561232943806226509956212151718298200676562641794269613557110347765073892013697129039773515300473892436573341000656421807897723067767942773728104970400929032636841198667027811092175345036106573823406838617879834991456731103755203269775887905618798176732602405419544786703882762474928833407944112704039299689522355704617506259950420915452059664740214284156032279186085516756650592616557540555518407179136688718314523636315487980168247870795107644594182250281912187886e-1
10,2.31687925928990050367915103344463602917910996534851447273628258543992545690510810684429419951405048709542070846482213007061907709391382822456347984230796457088957240801872984894865704394181810159945903161300373632563341252573207204001447606172864509516388974659171969232613790315974712900756619114789631138147478480506681727503213042665239403964252095236589664043440209526496804644125902768794152521879200174795836871892194281271744338360958064505157647354077620922404051389308632981045496008673121029232359102691123619246248956788039294702856436672406607727408726714078911451493586673389081405060438749534846128726055391753493011069435051683718613183952694312925167945875819635483629877337767303811554858818545687479020801712685130579187278134721515969483293990359183068080353902898629767202481402901654068755088894938136189067923521751578239953955124763680450812110247138487275433326707885805046275442790279794277996946419948925612644361020337540183650506285475340927918807916305283405711997320700439434846e-1,4.34498936005414899011937653575628512883766643717726720061110649410767911271307471239775167548195526651077388009769604703309741815412979362130644353884910146178377014772386112365642410546362239073054334073028979438538212977653601849492022714679892365437775630977444806105566264596633014885869563065431717852830262642708178068232713553785142831906794485374747088204628474362827494846622053332784442655023285040567772496530398524595840238947348835011086779146733539192606992068663074476054227028042610507934393020321925777717627438676983672065641243420764365755925596330367988601026267706124911787764350137443600536463117177901338640177455625629695876152437328726895105876830998650426017156402575335706892686177756586545698469478289469568334357241016496831613008410219493309658330452031427850543910140449745382914775348806904041165501310036217916316250621744030956795856239775215052875456517286353863013532921292121293198367252381536992484469045802291055052088798079566802277706922280269213859535957348934243334e-2,9.59508051675220272879281916454620568408531089415261530840776050346139020265962235271255887886566232540075319449941677921593546667972921382215847753156434007593934123777569973203533169291879071598642053875188998254582224579548666741492512442868507275194175071571059187910096836537641226458179106697806736751218853835844005453332110157734571068665650945087289311452917034305219400810241723818728204239498457412716970777696853457777000589919678425368336145364992813193397370206130964140354335513776453805607448294976287257380271551682791931858624633999337613180630763319618743606449902069453262088772763773386673382625027778255928251606728182245708053880176185075553243974527642250213605046197053553687772284759977711320427442522795151284474799896584757607112560083616005880226849666800513862864277127711448711516448735141419251407742975545959750665275514699593386085872658229878611975512423485774145266063850165209902833639707495215130142269095448903448100004444900388760777849956854105895764565495400990150756e-1
